DUNS,VENDOR NAME,CONTRACT NUMBER/OFFER NUMBER,SIN,MANUFACTURER NAME,MFGPART,VENDPART,UPC-A,PRODNAME,PRODUCT DESCRIPTION,UOI,GREEN CERTIFICATION,RECYCLED AND/OR POST CONSUMER MATERIAL CONTENT %,COMMERCIAL LIST PRICE,MOST FAVORED CUSTOMER (MFC), DISCOUNT OFFERED TO MFC (%),MFC PRICE, GSA(%) DISCOUNT (exclusive of the .75% IFF),DISCOUNT PRICE OFFERED TO GSA (excluding IFF),PRICE,QUANTITY/VOLUME DISCOUNT,COO,"CDM SIN Only: Manage ""What is on the network?""","CDM SIN Only: Manage ""Who is on the network?""","CDM SIN Only: Manage ""How is the network protected?""","CDM SIN Only: Manage ""What is happening on the network?""",Emerging Tools and Technology,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1013257-14D,K-1013257-14D,,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 14D","Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 14D",PR,,,$231.00 ,All Commercial Accounts,0.00%,231.00,15.00%,196.35,197.83,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1013257-14EE,K-1013257-14EE,,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 14EE","Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 14EE",PR,,,$231.00 ,All Commercial Accounts,0.00%,231.00,15.00%,196.35,197.83,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1013257-15D,K-1013257-15D,,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 15D","Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 15D",PR,,,$231.00 ,All Commercial Accounts,0.00%,231.00,15.00%,196.35,197.83,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1013257-15EE,K-1013257-15EE,,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 15EE","Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 15EE",PR,,,$231.00 ,All Commercial Accounts,0.00%,231.00,15.00%,196.35,197.83,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1013257-7.5D,K-1013257-7.5D,,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 7.5D","Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 7.5D",PR,,,$231.00 ,All Commercial Accounts,0.00%,231.00,15.00%,196.35,197.83,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1013257-7.5EE,K-1013257-7.5EE,,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 7.5EE","Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 7.5EE",PR,,,$231.00 ,All Commercial Accounts,0.00%,231.00,15.00%,196.35,197.83,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1013257-7D,K-1013257-7D,,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 7D","Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 7D",PR,,,$231.00 ,All Commercial Accounts,0.00%,231.00,15.00%,196.35,197.83,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1013257-7EE,K-1013257-7EE,,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 7EE","Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 7EE",PR,,,$231.00 ,All Commercial Accounts,0.00%,231.00,15.00%,196.35,197.83,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1013257-8.5D,K-1013257-8.5D,,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 8.5D","Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 8.5D",PR,,,$231.00 ,All Commercial Accounts,0.00%,231.00,15.00%,196.35,197.83,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1013257-8.5EE,K-1013257-8.5EE,,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 8.5EE","Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 8.5EE",PR,,,$231.00 ,All Commercial Accounts,0.00%,231.00,15.00%,196.35,197.83,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1013257-8D,K-1013257-8D,,"Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 8D","Boot, Men's Keen 8"" Mt. Vernon WP, Steel Toe, Cascade Brown, Size 8D",PR,,,$231.00 ,All Commercial Accounts,0.00%,231.00,15.00%,196.35,197.83,,US,,,,,,,
