PART_NUMBER,PART_NAME,OEM_NAME,ORIGINAL_PRICE,DISCOUNT_PRICE
7FL575,KIT SV SANITIZER PUMP MOUNT DEB SNOW,"ERGOTRON, INC.",67.29,67.29
7FH984,ACCS KIT DRAWER MOUNTED SHARPS BRACKET,"ERGOTRON, INC.",88.82,88.82
6YZ056,KIT STYLEVIEW FRONT SHELF MOUNTING,"ERGOTRON, INC.",336.43,336.43
5NQ625,STYLEVIEW LIFE PWR E LIFT LCD ARM 2DRW,"ERGOTRON, INC.",6368.0,6368.0
5NQ626,STYLEVIEW LIFE PWR E LIFT LCD ARM 3DRW,"ERGOTRON, INC.",6677.59,6677.59
5NQ632,STYLEVIEW LIFE PWR E LIFT LCD ARM 1DBL,"ERGOTRON, INC.",6055.36,6055.36
IPW845-D23-ODP,"TNR,2330/23,HY,BLK",IPW,128.52,128.52
PLR--201263-01,"SPARE,SECURITY LOCK,CALISTO 620","PLANTRONICS, INC.",12.76,12.76
7MQ709,RMK4 US RACK MOU,SEH TECHNOLOGY,116.4,116.4
7MQ708,RMK 3 US RACK MOU,SEH TECHNOLOGY,110.26,110.26
7MQ706,DONGLESERVER PRO 8PORT SO,SEH TECHNOLOGY,977.75,977.75
7MQ707,DONGLESERVER PROMAX 20PORT S,SEH TECHNOLOGY,2559.8,2559.8
7CN613,1X2 DP 1.2-DISPLAYPORT MST HUB MULTI MO,SIIG INC,60.63,60.63
7CN614,1X2 MINI DP 1.2-DISPLAYPORT MST HUB,SIIG INC,60.63,60.63
7CN615,1X2 DP 1.2-HDMI MULTI MONITOR SPLITTER,SIIG INC,66.81,66.81
7CN616,1X2 MINI DP 1.2- HDMI MULTI MONITOR,SIIG INC,66.81,66.81
6QG799,2PORT DVI DUAL-LINK SMART CONSOLE,SIIG INC,296.99,296.99
6QG800,4PORT DVI DUAL-LINK SMART CONSOLE,SIIG INC,433.12,433.12
6DN533,HDMI 2.0 4K HDR REPEATER 20M,SIIG INC,37.11,37.11
6DN534,HDCP CONVERTER HDCP 2.2 SIGNAL TO HDCP,SIIG INC,53.2,53.2
6PY346,HDMI 2.0 4K HDR 1X2 SPLITTER HDBASET,SIIG INC,617.52,617.52
6PY345,HDMI 2.0 4K HDR 1X4 SPLITTER HDBASET,SIIG INC,1236.27,1236.27
6PY344,HDMI 2.0 4K HDR OVER HDBASET RECEIVER,SIIG INC,221.51,221.51
6DQ346,4X4 HDMI 2.0 4K HDR MATRIX SWITCH C,SIIG INC,494.99,494.99
6QA098,1X2 HDMI 2.0 SPLITTER W/ AUDIO EXTRACTO,SIIG INC,92.8,92.8
6QA099,1X4 HDMI 2.0 SPLITTER W/ AUDIO EXTRACTO,SIIG INC,111.36,111.36
6QG798,LIVE GAME HDMI CAPTURE PCIE CARD CAP,SIIG INC,173.24,173.24
6QB816,HDMI 2.0 OVER IP MATRIX AND VIDEO WA,SIIG INC,420.74,420.74
6QB817,HDMI 2.0 OVER IP MATRIX AND VIDEO WA,SIIG INC,445.49,445.49
6QB818,HDMI 2.0 OVER IP MATRIX AND VIDEO WA,SIIG INC,284.62,284.62
6QG801,2PORT HDMI 2.0 4K HDR SMART CONSOLE,SIIG INC,321.74,321.74
6QG802,4PORT HDMI 2.0 4K HDR SMART CONSOLE,SIIG INC,420.74,420.74
6YP220,4X1 HDMI SEAMLESS QUAD-SPLIT MULTI-VI,SIIG INC,173.24,173.24
7HQ840,12G-SDI TO HDMI 2.0 CONVERTER 12G/6G/3,SIIG INC,556.87,556.87
6HH525,USB-C TRIPLE 4K VIDEO DOCKING STATION,SIIG INC,279.67,279.67
2DA569,52PORT 48XGB WEB SMART SWITCH,TRENDNET INC,392.38,392.38
7AY710,MINI-GBIC SINGLE MODE 40KM,TRENDNET INC,118.9,118.9
7AY711,MINI GBIC WDM SINGLE-MODE,TRENDNET INC,118.9,118.9
7AY712,MINI GBIC WDM SINGLE-MODE,TRENDNET INC,154.57,154.57
7AY713,MINI-GBIC SINGLE MODE 80KM,TRENDNET INC,154.57,154.57
1Q0620,16PORT GIGABIT GREENNET SWITCH FANLESS,TRENDNET INC,71.34,71.34
1Q0621,24PORT GIGABIT GREENNET SWITCH FANLESS,TRENDNET INC,95.12,95.12
4G5092,10DBI WL N300 OUTDOOR POE ACCESS P,TRENDNET INC,130.79,130.79
