PART_NUMBER,PART_NAME,OEM_NAME,ORIGINAL_PRICE,DISCOUNT_PRICE
4U1492,N300 WL CONTROLLER KIT CENTRALI,TRENDNET INC,169.16,169.16
4U1491,AC1200 DUAL BAND WL CTLR KIT .,TRENDNET INC,245.75,245.75
8D8965,AC1750 DUAL BAND POE ACCESS POINT GI,TRENDNET INC,139.93,139.93
3DY070,POE INDOOR WRLS ACCESS POINT AC2200 T,TRENDNET INC,211.46,211.46
7FY903,AC2200 WIFI MESH ROUTER,TRENDNET INC,154.57,154.57
7FY905,AC2200 WIFI MESH ROUTER SYSTEM,TRENDNET INC,273.48,273.48
6RV980,WRLS AC1300 OUTDOOR POE+5 DBI OMNI-DIR,TRENDNET INC,214.71,214.71
Q72814,1000TX TO 1000SX SC-TYPE FIBER MULTIMOD,TRENDNET INC,71.33,71.33
Q72819,1000TX TO WDM TX 1310 SMF CONVERTE,TRENDNET INC,321.03,321.03
Q72820,1000TX TO WDM TX 1550 SMF CONVERTE,TRENDNET INC,463.71,463.71
Q72821,1000TX TO WDM TX 1310 SMF CONVERTE,TRENDNET INC,713.42,713.42
Q72822,1000TX TO WDM TX 1550 SMF CONVERTE,TRENDNET INC,951.23,951.23
Q72818,1000BT TO 1000-LX SMF CONVERTER70KM,TRENDNET INC,642.07,642.07
3F7740,100BASE-TX TO 100BASE-FX SINGLEMODE SC,TRENDNET INC,499.38,499.38
Y65922,100BASE-TX TO 100BASE-FX SINGLE M,TRENDNET INC,79.65,79.65
QM7678,INTELLIGENT 100TX TO 100FX RJ45DUAL WAV,TRENDNET INC,118.89,118.89
Q72803,10/100TX TO 100FX SINGLE MODE 30 KM FI,TRENDNET INC,74.9,74.9
Q72807,10/100TX TO 100FX SMF CONVERTER30KM,TRENDNET INC,97.49,97.49
QM7682,INTELLIGENT 100TX TO 100FX RJ45DUAL WAV,TRENDNET INC,410.2,410.2
Q72796,MANAGEMENT MODULE FOR TFC-1600 CHASSIS,TRENDNET INC,110.57,110.57
Q72797,REDUNDANT POWER SUPPLY TFC-1600CHASSIS,TRENDNET INC,178.34,178.34
6DB557,GIGABIT POE PD SFP FIBER MEDIA CO,TRENDNET INC,52.32,52.32
7FY904,INDUSTRIAL GIGABIT POE+ EXTENDER,TRENDNET INC,142.68,142.68
6YK284,5-PORT INDUSTRIAL FAST ETHERNETDIN-RAIL,TRENDNET INC,71.59,71.59
6YK285,8-PORT INDUSTRIAL FAST ETHERNETDIN-RAIL,TRENDNET INC,107.08,107.08
6QQ505,10PORT INDUSTRIAL GIGABIT L2 MANAGED,TRENDNET INC,429.3,429.3
7BB575,16-PORT INDUSTRIAL SWITCH MANAGED,TRENDNET INC,508.84,508.84
7HD944,14PORT GIGABIT INDUSTRIAL DIN-RAIL,TRENDNET INC,416.16,416.16
6KA629,HARDEND INDUSTRIAL 90W GIGABIT GIGABIT,TRENDNET INC,190.25,190.25
6KA630,POE+ DIN-RAIL SWITCH 5PORT IN,TRENDNET INC,130.79,130.79
6RV912,8-PORT INDUSTRIAL FAST ETHERNETPOE+ DIN,TRENDNET INC,184.3,184.3
6QQ844,16PORT INDUSTRIAL SWITCH 16PORT I,TRENDNET INC,558.85,558.85
7HD945,14PORT GIGABIT POE+ INDUSTRIAL POE+ DIN,TRENDNET INC,570.74,570.74
7FY906,5-PORT INDUSTRIAL GIGABIT POE+ DIN-RAIL,TRENDNET INC,202.14,202.14
6PB585,5PORT GIGABIT POE ACCESS SWITCH5-PORT G,TRENDNET INC,214.03,214.03
6KT743,8PORT IND GIG POE+ DIN-RAIL SWITCH,TRENDNET INC,404.27,404.27
6PB584,8PORT GIGABIT POE ACCESS SWITCH8-PORT G,TRENDNET INC,303.2,303.2
2M4440,240W SINGLE OUTPUT INDUSTRIAL DIN-RAIL,TRENDNET INC,184.3,184.3
6YL440,4-PORT DUAL MONITOR DISPLAYPORT,TRENDNET INC,424.05,424.05
Q72875,8PORT KVM USB PS2 COMBO RACK MOUNT SW,TRENDNET INC,154.57,154.57
3FH329,KVM EXTENSION KIT UP TO 50M W/ AUDIO SU,TRENDNET INC,166.46,166.46
6YK286,14-PORT GIGABIT MANAGED LAYER 2 SFP SW,TRENDNET INC,398.33,398.33
DX6199,24PORT 10/100/1000 4PORT MINI-GBI,TRENDNET INC,344.81,344.81
4Q3550,28PORT GB POE+ MANAGED LAYER 2 SWITCH W,TRENDNET INC,582.63,582.63
XN0477,GIGABIT POE SPLITTER POWERED BY THE P,TRENDNET INC,20.21,20.21
PD1234,GIGABIT POE INJECTOR PRODUCE A GIGABIT,TRENDNET INC,26.16,26.16
QY3584,TPE-115GI GIGABIT POE INJECTOR FULL DUP,TRENDNET INC,35.67,35.67
8D8917,GIGABIT ULTRA POE+ INJECTOR FULL DUP,TRENDNET INC,83.23,83.23
7MQ886,65W 4PORT GIGABIT POE+ INJECTOR,TRENDNET INC,107.01,107.01
7FX917,16 X GIGABIT POE+ PORTS 20-PORTGIGABIT,TRENDNET INC,517.23,517.23
9V0323,52PORT GIBABIT WEB SMART POE+ SWITCH,TRENDNET INC,832.32,832.32
2DA570,52PORT 48GB WEB SMART POE SWITCH,TRENDNET INC,630.19,630.19
YL9872,GIGABIT POE+ REPEATER 48PORT GIGABIT,TRENDNET INC,71.34,71.34
YL9875,GIGABIT POE+ REPEATER/AMPLIFIER,TRENDNET INC,95.12,95.12
3DT082,SWITCH WITH POE PASS THROUGH 5PORT GI,TRENDNET INC,71.34,71.34
2V0913,5-PORT 10/100 MBPS POE SWITCH 1GBPS SW,TRENDNET INC,47.56,47.56
TQ8183,8PORT 10/100 ENET POE+SWITCH,TRENDNET INC,142.68,142.68
VZ0050,5PORT GIGABIT POE SWITCH 10GBPSSWITCHIN,TRENDNET INC,76.41,76.41
6RV911,6-PORT GIGABIT POE+ SWITCH 4 X GIGA,TRENDNET INC,107.01,107.01
QY3582,TPE-TG81G 8PORT GIGABIT GREENNET,TRENDNET INC,166.46,166.46
3DN958,8XGIGABIT POE + PORTS 8-PORT G,TRENDNET INC,118.9,118.9
6KW365,48 CH CAMERA EVO LICS,TRENDNET INC,1011.93,1011.93
6KW366,72 CH CAMERA EVO LICS,TRENDNET INC,1517.89,1517.89
6KW368,UNLIMITED CAMERA EVO LICS,TRENDNET INC,4047.72,4047.72
6B5701,TV-IP344PI 4MP BULLET CAMERA 2.8-12MM,TRENDNET INC,297.26,297.26
6B5702,INDOOR/OUTDOOR CAMERA 4MP VARIFOCA,TRENDNET INC,297.26,297.26
4AH957,BULK KRAKEN AMS BLK CASE MAGNETATTACHME,TRIDENT CASE,12.88,12.88
1A5207,CYCLOPS CASE WITH SLIDING STANDCLEAR IN,TRIDENT CASE,22.54,22.54
2TM130,PEGASUS W/STAND/HANDLE BLUE CASE FOR,TRIDENT CASE,17.39,17.39
2TM131,PEGASUS W/STAND/HANDLE BLACK CASE FOR,TRIDENT CASE,17.39,17.39
2TM129,PEGASUS W/HANDLE & STAND RED CASE FOR,TRIDENT CASE,17.39,17.39
4AH959,BULK PEGASUS BLUE/BLK CASE W/ HANDLE &,TRIDENT CASE,17.39,17.39
4AH960,BULK PEGASUS BLACK CASE W/ HANDLE &,TRIDENT CASE,17.39,17.39
4AH961,BULK PEGASUS RED/BLK CASE W/ HANDLE &,TRIDENT CASE,17.39,17.39
9Z3063,KRAKEN AMS BLACK CASE FOR APPLEIPAD PRO,TRIDENT CASE,27.05,27.05
9B0972,KRAKEN AMS CASE IPAD 9.7 2017 BLCK (BU,TRIDENT CASE,27.05,27.05
8W8989,KRAKEN AMS INDUSTRIAL SERIES BLACK CA,TRIDENT CASE,40.58,40.58
YN8320,KRAKEN AMS BLUE CASE FOR APPLEIPAD AIR,TRIDENT CASE,27.05,27.05
4AH958,BULK KRAKEN CLEAR CASE FOR IPAD AIR,TRIDENT CASE,27.05,27.05
2Z9913,KRAKEN AMS INDUSTRIAL SERIES F/IPAD AIR,TRIDENT CASE,40.58,40.58
1V8622,KRAKEN AMS CASE FOR APPLE IPAD PRO 9.7,TRIDENT CASE,27.05,27.05
1V8623,KRAKEN AMS CASE FOR APPLE IPAD PRO 9.7,TRIDENT CASE,27.05,27.05
8W8993,CYCLOPS CLEAR CASE FOR APPLE IP,TRIDENT CASE,22.54,22.54
8W8991,CYCLOPS BLACK CASE FOR APPLE IP,TRIDENT CASE,22.54,22.54
2TM140,USB 20 SLOT CHARGING CART FOR TABLETS,TRIDENT CASE,811.51,811.51
2TM143,AC 30 SLOT CHARGING CART FOR CHROMEBO,TRIDENT CASE,1172.19,1172.19
2TM141,USB W/ SYNC 32SLOT CART CHARGING,TRIDENT CASE,1532.87,1532.87
2TM142,USB 32 SLOT CHARGING CART FOR TABLETS,TRIDENT CASE,1307.44,1307.44
2TM144,AC 42 SLOT CHARGING CART FOR CHROMEBO,TRIDENT CASE,1532.87,1532.87
2TM132,CHROMEBOOK PREMIUM GRAY SLEEVE FOR 13IN,TRIDENT CASE,10.31,10.31
2TM133,CHROMEBOOK PREMIUM BLACK SLEEVEFOR 13IN,TRIDENT CASE,10.31,10.31
2TM134,CHROMEBOOK PREMIUM GRAY SLEEVE FOR 15IN,TRIDENT CASE,10.31,10.31
2TM135,CHROMEBOOK PREMIUM BLACK SLEEVEFOR 15IN,TRIDENT CASE,10.31,10.31
1E5319,4000W INT INVERTER CHARGER 230V48VDC AT,TRIPP LITE,2612.5,2612.5
7PU748,HDMI/USB KVM SWITCH 8PORT 1U AUDIO/VI,TRIPP LITE,600.0,600.0
7PU749,HDMI/USB KVM SWITCH 16PORT 1U AUDIO/VI,TRIPP LITE,850.0,850.0
7JF557,HDMI OVER CAT6 EXTENDER KIT W/ POWER,TRIPP LITE,366.74,366.74
7PU750,USB OVER CAT5/CAT6 EXTENDER KIT1PORT W/,TRIPP LITE,80.0,80.0
7PU751,USB OVER CAT5/CAT6 EXTENDER KIT4PORT W/,TRIPP LITE,90.0,90.0
9K4428,UPS EXT BATTERY PACK 192V TOWERSU5000 S,TRIPP LITE,25926.75,25926.75
9K4433,UPS EXT BATTERY PACK 240V TOWER1-PHASE,TRIPP LITE,28260.0,28260.0
YE3783,HDMI TO VGA ADAPTER CONVERTER 1920X108,TRIPP LITE,21.57,21.57
VR5987,6IN MINI HDMI TO VGA ADAPTER CONVERTE,TRIPP LITE,16.18,16.18
4AU260,MINI DISPLAYPORT DVI ADAPTER CONVERTE,TRIPP LITE,10.25,10.25
9V7783,10FT HDMI TO VGA M/M ADAPTER CABLE AC,TRIPP LITE,24.81,24.81
YN2582,6FT DISPLAYPORT TO HD ADAPTER CABLE DP,TRIPP LITE,14.56,14.56
9K6470,DISPLAYPORT TO HDMI ADAPTER 6FTCABLE AC,TRIPP LITE,35.6,35.6
XT0139,10FT DISPLAYPORT TO HD ADAPTER CABLE DP,TRIPP LITE,22.11,22.11
9K6473,DISPLAYPORT HDMI ADAPTER 15FT CABLE AC,TRIPP LITE,47.46,47.46
TL6676,6FT MINI DPORT TO VGA ADAPTER CABLE AC,TRIPP LITE,23.73,23.73
2KK951,MAGNETIC VINYL KIT FOR RACK ENCLOSUR,TRIPP LITE,50.63,50.63
4Q2579,USB PANEL MOUNT COUPLER F/F USB 2.0,TRIPP LITE,4.03,4.03
4G5707,USB KEYSTONE JACK COUPLER F/F USB 3.0,TRIPP LITE,5.5,5.5
PW9451,16GB FLASH DRIVE USB 2.0 SLIDING,"VERBATIM AMERICAS, LLC",7.28,7.28
PW9452,32GB FLASH DRIVE USB 2.0 SLIDING,"VERBATIM AMERICAS, LLC",7.9,7.9
PC6115,32GB FLASH DRIVE USB 3.0 STORE N,"VERBATIM AMERICAS, LLC",8.23,8.23
1V8802,32GB PRO PLUS 600X SDHC MEMORY CARD UHS,"VERBATIM AMERICAS, LLC",22.77,22.77
7HQ086,256GB VI560 SATA III M.2 2280 INTERNAL,"VERBATIM AMERICAS, LLC",58.2,58.2
6DQ019,128GB STORE N GO SECURE PRO USB3.0 W/HA,"VERBATIM AMERICAS, LLC",106.28,106.28
7GH752,32GB FINGERPRINT SECURE SILVER USB 3.0,"VERBATIM AMERICAS, LLC",51.87,51.87
7GH753,64GB FINGERPRINT SECURE SILVER USB 3.0,"VERBATIM AMERICAS, LLC",65.79,65.79
7GH754,128GB FINGERPRINT SECURE SILVERUSB 3.0,"VERBATIM AMERICAS, LLC",82.24,82.24
7CL294,1TB SSD UPG KIT PLAYSTATION 4,"VERBATIM AMERICAS, LLC",167.01,167.01
7CL806,16GB STORE N CLICK USB FLASH DRIVE 2P,"VERBATIM AMERICAS, LLC",13.1,13.1
7CL807,16GB STORE N FLIP USB FLASH DRIVE 2P,"VERBATIM AMERICAS, LLC",13.1,13.1
7CL291,128GB VX460 EXT SSD USB 3.1 GEN 1 BL,"VERBATIM AMERICAS, LLC",41.75,41.75
7CL292,256GB VX460 EXT SSD USB 3.1 GEN 1 BL,"VERBATIM AMERICAS, LLC",62.0,62.0
7CL293,512GB VX460 EXT SSD USB 3.1 GEN 1 BL,"VERBATIM AMERICAS, LLC",96.79,96.79
7HQ087,512GB VI560 SATA III M.2 2280 INTERNAL,"VERBATIM AMERICAS, LLC",99.95,99.95
7HQ088,1TB VI560 SATA III M.2 2280 INTERNAL,"VERBATIM AMERICAS, LLC",185.99,185.99
KQ4546,3PK 4GB FLASH DRIVE USB 2.0 STORE N,"VERBATIM AMERICAS, LLC",20.24,20.24
CA7461,100PK DVD-R 16X 4.7GB WHITE DL+ THER,"VERBATIM AMERICAS, LLC",35.87,35.87
RG8790,32GB NANO FLASH DRIVE USB 2.0 STORE N,"VERBATIM AMERICAS, LLC",8.23,8.23
TT2219,16GB FLASH DRIVE USB 2.0 2PK SWIVEL C,"VERBATIM AMERICAS, LLC",13.1,13.1
5DB969,256GB PREMIUM SDXC MEMORY CARD CLASS10,"VERBATIM AMERICAS, LLC",46.81,46.81
