OEM_NUMBER,UPC,upc 12 digit  text,VENDPART,OEM_NAME,PRODNAME,DESCRIPTION,PRICE,LIST PRICE,UOM,ITEMS_PER_UOI,Min Order Qty,DAYS_ARO,Image Ref,IMAGE_NAME,country_of_origin,JWOD,green_material_flag,PSC_CODE,gds_Categoryname,UNSPSC4,TAA Compliant,,,,,,,,,,,,,,,,,,,,,,,
035352,,,3RAP4,2000PLUS,Message Stamp Received 5/16 ,"035352,  MFR 2000PLUS, Message Stamp Legend Received Ink Color Red Material Made of 65 Percent Recycled Plastic and Metal Character Height 5/16 In. Font 32 Imprint Area Height 1/2 In. Imprint Area Width 1-1/2 In. Overall Height 2-3/4 In. Overall Length 1-1/4 In. Overall Width 2-1/2 In.",12.93,15.23,EA,1,1,5,https://static.grainger.com/rp/s/is/image/Grainger/3RAP4_AS01?$S7PRODUCT$,3RAP4_AS01.JPG,AT,,Y,7510,Message Stamps,60121701,Y  ,,,,,,,,,,,,,,,,,,,,,,,
035353,,,3RAP5,2000PLUS,Message Stamp Void 5/16 ,"035353,  MFR 2000PLUS, Message Stamp Legend Void Ink Color Blue Material Made of 65 Percent Recycled Plastic and Metal Character Height 5/16 In. Font 32 Imprint Area Height 1/2 In. Imprint Area Width 1-1/2 In. Overall Height 2-3/4 In. Overall Length 1-1/4 In. Overall Width 2-1/2 In.",12.69,14.96,EA,1,1,5,https://static.grainger.com/rp/s/is/image/Grainger/3RAP5_AS01?$S7PRODUCT$,3RAP5_AS01.JPG,AT,,Y,7510,Message Stamps,60121701,Y  ,,,,,,,,,,,,,,,,,,,,,,,
039307,,,3RAP6,2000PLUS,Self Inking Date Stamp 4 Bands W 1-3/4 ,"039307,  MFR 2000PLUS, Self-Inking Date Stamp Number of Bands 4 Character Height 5/32 In. Imprint Area Height 5-3/8 In. Imprint Area Width 1 In. Font 1-1/2 In. Ink Color Black Material 75 Percent Recycled Plastic and Metal Overall Height 6-1/2 In. Overall Length 1-7/8 In Overall Width 1-3/4 In.",54.01,54.76,EA,1,1,5,https://static.grainger.com/rp/s/is/image/Grainger/3RAP6_AS01?$S7PRODUCT$,3RAP6_AS01.JPG,AT,,N,7510,Date Stamps,60121701,Y  ,,,,,,,,,,,,,,,,,,,,,,,
038858,,,4YDC4,2000PLUS,Stamp Message Dater 4 in 1,"038858,  MFR 2000PLUS, Message Date Stamp Legend Entered Faxed Paid Received Number of Bands 5 Font 14 Character Height 5/32 In. Imprint Area Width 1 In. Imprint Area Height 5/32 In. Ink Color Blue/Red Overall Height 6-1/2 In. Overall Length 1-3/4 In. Overall Width 2-5/8 In. Material Metal For Use With 2000Plus Ink Refills and Stamp Pads Features 4 Messages along with Dater which has a 5 year date band Includes 75 Percent Recycled Plastic and Metal",39.06,63.43,EA,1,1,5,https://static.grainger.com/rp/s/is/image/Grainger/4YDC4_AS01?$S7PRODUCT$,4YDC4_AS01.JPG,AT,,N,7510,Message Date Stamps,44121604,Y  ,,,,,,,,,,,,,,,,,,,,,,,
038860,,,4YDC6,2000PLUS,Stamp Custom Kit Black Ink,"038860,  MFR 2000PLUS, Stamp Kit Imprint Area Width 1-3/4 In. Imprint Area Height 1-1/4 In. Ink Color Black Overall Height 7-1/2 In. Overall Length 2-1/8 In. Overall Width 8-1/2 In. Material Plastic For Use With 2000Plus Ink Refills and Stamp Pads Features 7-Lines to create your custom message Includes (3) Sets of Characters. (380) 1/8 in Characters (335) 3/16 in Characters (90) 1/4 in Characters (1) Pre-Inked Pad",37.14,60.44,EA,1,1,5,https://static.grainger.com/rp/s/is/image/Grainger/4YDC6_AS01?$S7PRODUCT$,4YDC6_AS01.JPG,AT,,N,7510,Message Date Stamps,44121604,Y  ,,,,,,,,,,,,,,,,,,,,,,,
038861,,,4YDC7,2000PLUS,D3835 Message Date Stamp 4 Bands Received,"038861,  MFR 2000PLUS, D3835 Self-Inking Message Date Stamp Legend Received Number of Bands 4 Font 14 Character Height 5/32 In. Imprint Area Width 1 In. Imprint Area Height 5/32 In. Ink Color Blue/Red Overall Height 6-1/8 In. Overall Length 1-3/4 In. Overall Width 2-1/2 In. Material Metal For Use With 2000Plus Ink Refills and Stamp Pads Features 6 year date band prints month day and year",25.79,40.77,EA,1,1,5,https://static.grainger.com/rp/s/is/image/Grainger/4YDC7_AS01?$S7PRODUCT$,4YDC7_AS01.JPG,AT,,N,7510,Message Date Stamps,44121604,Y  ,,,,,,,,,,,,,,,,,,,,,,,
038862,,,4YDC8,2000PLUS,D3835 Message Date Stamp 4 Bands Paid,"038862,  MFR 2000PLUS, D3835 Self-Inking Message Date Stamp Legend Paid Number of Bands 4 Font 14 Character Height 5/32 In. Imprint Area Width 1 In. Imprint Area Height 5/32 In. Ink Color Blue/Red Overall Height 6-1/8 In. Overall Length 1-3/4 In. Overall Width 2-1/2 In. Material Metal For Use With 2000Plus Ink Refills and Stamp Pads Features 5 year date band prints month day and year",25.79,40.77,EA,1,1,5,https://static.grainger.com/rp/s/is/image/Grainger/4YDC8_AS01?$S7PRODUCT$,4YDC8_AS01.JPG,AT,,N,7510,Message Date Stamps,44121604,Y  ,,,,,,,,,,,,,,,,,,,,,,,
038863,,,4YDC9,2000PLUS,D3835 Message Date Stamp 4 Bands Faxed,"038863,  MFR 2000PLUS, D3835 Self-Inking Message Date Stamp Legend Faxed Number of Bands 4 Font 14 Character Height 5/32 In. Imprint Area Width 1 In. Imprint Area Height 5/32 In. Ink Color Blue/Red Overall Height 6-1/8 In. Overall Length 1-3/4 In. Overall Width 2-1/2 In. Material Metal For Use With 2000Plus Ink Refills and Stamp Pads Features 5 year date band prints month day and year",25.79,40.77,EA,1,1,5,https://static.grainger.com/rp/s/is/image/Grainger/4YDC9_AS03?$S7PRODUCT$,4YDC9_AS03.JPG,AT,,N,7510,Message Date Stamps,44121604,Y  ,,,,,,,,,,,,,,,,,,,,,,,
038864,,,4YDD1,2000PLUS,Stamp Message Dater 12 in 1,"038864,  MFR 2000PLUS, Message Date Stamp Legend Answered Balance Cancelled Charged C.O.D. Entered  Filled Filed Paid Received Returned Shipped Number of Bands 5 Font 20 Character Height 3/16 In. Imprint Area Width 1-3/4 In. Imprint Area Height 1/4 In. Ink Color Black Overall Height 6-3/4 In. Overall Length 2-1/8 In. Overall Width 3-1/8 In. Material Metal For Use With 2000Plus Ink Refills and Stamp Pads Features 5 year date band prints month day and year Includes Dual Pad",53.36,86.74,EA,1,1,5,https://static.grainger.com/rp/s/is/image/Grainger/4YDD1_AS01?$S7PRODUCT$,4YDD1_AS01.JPG,AT,,N,7510,Message Date Stamps,44121604,Y  ,,,,,,,,,,,,,,,,,,,,,,,
038866,,,4YDD3,2000PLUS,Self-Ink Microban Date Stamp Font 18,"038866,  MFR 2000PLUS, Self-Inking Microban Date Stamp Number of Bands 4 Character Height 3/16 In. Imprint Area Height 3/16 In. Imprint Area Width 1-1/2 In. Font 18 Ink Color Black Material Metal Overall Height 7-1/4 In. Overall Length 1-7/8 In Overall Width 2-5/8 In. For Use With 2000Plus Ink Refills and Stamp Pads Includes Dual Pad",51.87,52.59,EA,1,1,5,https://static.grainger.com/rp/s/is/image/Grainger/4YDD3_AS01?$S7PRODUCT$,4YDD3_AS01.JPG,AT,,N,7510,Date Stamps,44121604,Y  ,,,,,,,,,,,,,,,,,,,,,,,
