PART_NAME,OEM_NAME,OEM_NUMBER,NEW_OEM_NUMBER,PART_NUMBER,NEW_PART_NUMBER,UPC,COMMENT
MERCHANTS AUTOMATIC PULL DOWEL PIN - 1/2,GENERIC USA,PDP102400PT,PDP102400PT,SM520864,SM520864,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - M10,GENERIC USA,PDP1032,PDP1032,SM5270110,SM5270110,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - M10,GENERIC USA,PDP1036,PDP1036,SM5270115,SM5270115,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - M10,GENERIC USA,PDP1040,PDP1040,SM5270120,SM5270120,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 1/4,GENERIC USA,PDP104100PT,PDP104100PT,SM520416,SM520416,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 1/4,GENERIC USA,PDP104112PT,PDP104112PT,SM520424,SM520424,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 1/4,GENERIC USA,PDP104114PT,PDP104114PT,SM520420,SM520420,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 1/4,GENERIC USA,PDP104134PT,PDP104134PT,SM520428,SM520428,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 1/4,GENERIC USA,PDP104200PT,PDP104200PT,SM520432,SM520432,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 1/4,GENERIC USA,PDP104212PT,PDP104212PT,SM520440,SM520440,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 1/4,GENERIC USA,PDP104300PT,PDP104300PT,SM520448,SM520448,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - M10,GENERIC USA,PDP1050,PDP1050,SM5270125,SM5270125,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - M10,GENERIC USA,PDP1060,PDP1060,SM5270130,SM5270130,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - M12,GENERIC USA,PDP1230,PDP1230,SM5270155,SM5270155,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - M12,GENERIC USA,PDP1232,PDP1232,SM5270160,SM5270160,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - M12,GENERIC USA,PDP1240,PDP1240,SM5270165,SM5270165,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - M12,GENERIC USA,PDP1250,PDP1250,SM5270170,SM5270170,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - M12,GENERIC USA,PDP1260,PDP1260,SM5270175,SM5270175,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - M12,GENERIC USA,PDP1270,PDP1270,SM5270180,SM5270180,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - M12,GENERIC USA,PDP1280,PDP1280,SM5270185,SM5270185,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - M16,GENERIC USA,PDP1640,PDP1640,SM5270200,SM5270200,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - M16,GENERIC USA,PDP1650,PDP1650,SM5270210,SM5270210,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - M16,GENERIC USA,PDP1660,PDP1660,SM5270215,SM5270215,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - M16,GENERIC USA,PDP1670,PDP1670,SM5270220,SM5270220,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - M16,GENERIC USA,PDP1680,PDP1680,SM5270225,SM5270225,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - M20,GENERIC USA,PDP2040,PDP2040,SM5270250,SM5270250,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - M20,GENERIC USA,PDP2050,PDP2050,SM5270255,SM5270255,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - M20,GENERIC USA,PDP2060,PDP2060,SM5270260,SM5270260,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - M20,GENERIC USA,PDP2070,PDP2070,SM5270265,SM5270265,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - M20,GENERIC USA,PDP2080,PDP2080,SM5270270,SM5270270,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 3/4,GENERIC USA,PDP304112PT,PDP304112PT,SM521224,SM521224,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 3/4,GENERIC USA,PDP304134PT,PDP304134PT,SM521228,SM521228,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 3/4,GENERIC USA,PDP304200PT,PDP304200PT,SM521232,SM521232,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 3/4,GENERIC USA,PDP304212PT,PDP304212PT,SM521240,SM521240,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 3/4,GENERIC USA,PDP304234PT,PDP304234PT,SM521244,SM521244,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 3/4,GENERIC USA,PDP304300PT,PDP304300PT,SM521248,SM521248,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 3/4,GENERIC USA,PDP304400PT,PDP304400PT,SM521264,SM521264,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 3/8,GENERIC USA,PDP308100PT,PDP308100PT,SM520616,SM520616,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 3/8,GENERIC USA,PDP308112PT,PDP308112PT,SM520624,SM520624,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 3/8,GENERIC USA,PDP308114PT,PDP308114PT,SM520620,SM520620,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 3/8,GENERIC USA,PDP308134PT,PDP308134PT,SM520628,SM520628,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 3/8,GENERIC USA,PDP308200PT,PDP308200PT,SM520632,SM520632,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 3/8,GENERIC USA,PDP308212PT,PDP308212PT,SM520640,SM520640,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 3/8,GENERIC USA,PDP308214PT,PDP308214PT,SM520636,SM520636,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 3/8,GENERIC USA,PDP308234PT,PDP308234PT,SM520644,SM520644,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 3/8,GENERIC USA,PDP308300PT,PDP308300PT,SM520648,SM520648,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 5/8,GENERIC USA,PDP508100PT,PDP508100PT,SM521016,SM521016,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 5/8,GENERIC USA,PDP508112PT,PDP508112PT,SM521024,SM521024,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 5/8,GENERIC USA,PDP508114PT,PDP508114PT,SM521020,SM521020,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 5/8,GENERIC USA,PDP508134PT,PDP508134PT,SM521028,SM521028,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 5/8,GENERIC USA,PDP508200PT,PDP508200PT,SM521032,SM521032,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 5/8,GENERIC USA,PDP508212PT,PDP508212PT,SM521040,SM521040,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 5/8,GENERIC USA,PDP508234PT,PDP508234PT,SM521044,SM521044,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 5/8,GENERIC USA,PDP508300PT,PDP508300PT,SM521048,SM521048,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 5/8,GENERIC USA,PDP508400PT,PDP508400PT,SM521064,SM521064,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 5/1,GENERIC USA,PDP516100PT,PDP516100PT,SM520516,SM520516,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 5/1,GENERIC USA,PDP516112PT,PDP516112PT,SM520524,SM520524,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 5/1,GENERIC USA,PDP516114PT,PDP516114PT,SM520520,SM520520,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 5/1,GENERIC USA,PDP516134PT,PDP516134PT,SM520528,SM520528,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 5/1,GENERIC USA,PDP516200PT,PDP516200PT,SM520532,SM520532,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 5/1,GENERIC USA,PDP516212PT,PDP516212PT,SM520540,SM520540,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 5/1,GENERIC USA,PDP516300PT,PDP516300PT,SM520548,SM520548,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 7/1,GENERIC USA,PDP716112PT,PDP716112PT,SM520724,SM520724,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 7/1,GENERIC USA,PDP716114PT,PDP716114PT,SM520720,SM520720,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 7/1,GENERIC USA,PDP716134PT,PDP716134PT,SM520728,SM520728,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 7/1,GENERIC USA,PDP716200PT,PDP716200PT,SM520732,SM520732,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 7/1,GENERIC USA,PDP716212PT,PDP716212PT,SM520740,SM520740,,toolong
MERCHANTS AUTOMATIC PULL DOWEL PIN - 7/1,GENERIC USA,PDP716300PT,PDP716300PT,SM520748,SM520748,,toolong
5/16 DIAMETER - SLEEVE ANCHOR,U.S. ANCHOR,278040,278040,SK4820010,SK4820010,,toolong
3/8 DIAMETER - SLEEVE ANCHOR,U.S. ANCHOR,278050,278050,SK4820020,SK4820020,,toolong
3/8 DIAMETER - SLEEVE ANCHOR,U.S. ANCHOR,278060,278060,SK4820030,SK4820030,,toolong
3/8 DIAMETER - SLEEVE ANCHOR,U.S. ANCHOR,278070,278070,SK4820040,SK4820040,,toolong
1/2 DIAMETER - SLEEVE ANCHOR,U.S. ANCHOR,278080,278080,SK4820050,SK4820050,,toolong
1/2 DIAMETER - SLEEVE ANCHOR,U.S. ANCHOR,278090,278090,SK4820060,SK4820060,,toolong
1/2 DIAMETER - SLEEVE ANCHOR,U.S. ANCHOR,278100,278100,SK4820070,SK4820070,,toolong
1/2 DIAMETER - SLEEVE ANCHOR,U.S. ANCHOR,278110,278110,SK4820080,SK4820080,,toolong
5/8 DIAMETER - SLEEVE ANCHOR,U.S. ANCHOR,278120,278120,SK4820090,SK4820090,,toolong
5/8 DIAMETER - SLEEVE ANCHOR,U.S. ANCHOR,278130,278130,SK4820100,SK4820100,,toolong
5/8 DIAMETER - SLEEVE ANCHOR,U.S. ANCHOR,278140,278140,SK4820110,SK4820110,,toolong
5/8 DIAMETER - SLEEVE ANCHOR,U.S. ANCHOR,278150,278150,SK4820120,SK4820120,,toolong
3/4 DIAMETER - SLEEVE ANCHOR,U.S. ANCHOR,278160,278160,SK4820130,SK4820130,,toolong
3/4 DIAMETER - SLEEVE ANCHOR,U.S. ANCHOR,278180,278180,SK4820140,SK4820140,,toolong
3/4 DIAMETER - SLEEVE ANCHOR,U.S. ANCHOR,278190,278190,SK4820150,SK4820150,,toolong
3/8 DIAMETER - WEDGE ANCHOR,U.S. ANCHOR,157060,157060,SK4810015,SK4810015,,toolong
1/2 DIAMETER - WEDGE ANCHOR,U.S. ANCHOR,157180,157180,SK4810045,SK4810045,,toolong
1/2 DIAMETER - WEDGE ANCHOR,U.S. ANCHOR,157190,157190,SK4810050,SK4810050,,toolong
1/2 DIAMETER - WEDGE ANCHOR,U.S. ANCHOR,157220,157220,SK4810060,SK4810060,,toolong
1/2 DIAMETER - WEDGE ANCHOR,U.S. ANCHOR,157230,157230,SK4810065,SK4810065,,toolong
5/8 DIAMETER - WEDGE ANCHOR,U.S. ANCHOR,157300,157300,SK4810070,SK4810070,,toolong
5/8 DIAMETER - WEDGE ANCHOR,U.S. ANCHOR,157310,157310,SK4810075,SK4810075,,toolong
5/8 DIAMETER - WEDGE ANCHOR,U.S. ANCHOR,157320,157320,SK4810080,SK4810080,,toolong
5/8 DIAMETER - WEDGE ANCHOR,U.S. ANCHOR,157340,157340,SK4810090,SK4810090,,toolong
5/8 DIAMETER - WEDGE ANCHOR,U.S. ANCHOR,157350,157350,SK4810095,SK4810095,,toolong
5/8 DIAMETER - WEDGE ANCHOR,U.S. ANCHOR,157360,157360,SK4810100,SK4810100,,toolong
3/4 DIAMETER - WEDGE ANCHOR,U.S. ANCHOR,157380,157380,SK4810105,SK4810105,,toolong
3/4 DIAMETER - WEDGE ANCHOR,U.S. ANCHOR,157390,157390,SK4810110,SK4810110,,toolong
3/4 DIAMETER - WEDGE ANCHOR,U.S. ANCHOR,157400,157400,SK4810115,SK4810115,,toolong
3/4 DIAMETER - WEDGE ANCHOR,U.S. ANCHOR,157420,157420,SK4810125,SK4810125,,toolong
3/4 DIAMETER - WEDGE ANCHOR,U.S. ANCHOR,157430,157430,SK4810130,SK4810130,,toolong
3/4 DIAMETER - WEDGE ANCHOR,U.S. ANCHOR,157440,157440,SK4810135,SK4810135,,toolong
3/4 DIAMETER - WEDGE ANCHOR,U.S. ANCHOR,157450,157450,SK4810140,SK4810140,,toolong
1 DIAMETER - WEDGE ANCHOR,U.S. ANCHOR,157620,157620,SK4810170,SK4810170,,toolong
1 1/4 DIAMETER - WEDGE ANCHOR,U.S. ANCHOR,157710,157710,SK4810180,SK4810180,,toolong
1 DIAMETER - WEDGE ANCHOR,U.S. ANCHOR,W10060K,W10060K,SK4810160,SK4810160,,toolong
1/4 DIAMETER - WEDGE ANCHOR,U.S. ANCHOR,W1432K,W1432K,SK4810010,SK4810010,,toolong
STAINLESS STEEL ADJUSTING SCREW - 1 HEAD,MORTON,KHS-1-0SS,KHS-1-0SS,SG80KHS10SS,SG80KHS10SS,,toolong
STAINLESS STEEL ADJUSTING SCREW - 1 HEAD,MORTON,KHS-1SS,KHS-1SS,SG80KHS1SS,SG80KHS1SS,,toolong
STAINLESS STEEL ADJUSTING SCREW - 1 1/8,MORTON,KHS-2-1SS,KHS-2-1SS,SG80KHS21SS,SG80KHS21SS,,toolong
STAINLESS STEEL ADJUSTING SCREW - 1 1/8,MORTON,KHS-2-2SS,KHS-2-2SS,SG80KHS22SS,SG80KHS22SS,,toolong
STAINLESS STEEL ADJUSTING SCREW - 1 1/8,MORTON,KHS-2-4SS,KHS-2-4SS,SG80KHS24SS,SG80KHS24SS,,toolong
STAINLESS STEEL ADJUSTING SCREW - 1 1/4,MORTON,KHS-3-1SS,KHS-3-1SS,SG80KHS31SS,SG80KHS31SS,,toolong
STAINLESS STEEL ADJUSTING SCREW - 1 1/4,MORTON,KHS-3SS,KHS-3SS,SG80KHS3SS,SG80KHS3SS,,toolong
PLASTIC BALL KNOB WITH SHAFT - 1/4-20 TH,MORTON,GL-20,GL-20,SG80GL20,SG80GL20,,toolong
PLASTIC BALL KNOB WITH SHAFT - 1/4-20 TH,MORTON,GL-30,GL-30,SG80GL30,SG80GL30,,toolong
PLASTIC BALL KNOB WITH SHAFT - 5/16-18 T,MORTON,GL-40,GL-40,SG80GL40,SG80GL40,,toolong
PLASTIC BALL KNOB WITH SHAFT - 3/8-16 TH,MORTON,GL-50,GL-50,SG80GL50,SG80GL50,,toolong
PLASTIC BALL KNOB WITH SHAFT - 1/2-13 TH,MORTON,GL-60,GL-60,SG80GL60,SG80GL60,,toolong
MODEL 1000L-0-5 CLAMPING RANGE - SELF-PO,BESSEY,1000L,1000L,SG751000L,SG751000L,,toolong
MODEL 1001S-0-3 CLAMPING RANGE - SELF-PO,BESSEY,1001S,1001S,SG751001S,SG751001S,,toolong
MODEL 376S-0-1 CLAMPING RANGE - SELF-POS,BESSEY,376S,376S,SG75376S,SG75376S,,toolong
"BALL PLUNGER - 7 LBS INITIAL END FORCE,",TE-CO,52922,52922,SG5052922,SG5052922,,toolong
BALL PLUNGER -  0.50 LBS INITIAL END FOR,TE-CO,52923,52923,SG5052923,SG5052923,,toolong
"TUGGER T-SLOT BOLT, 1/2-13 THREAD SIZE,",TE-CO,46408,46408,SG5046408,SG5046408,,toolong
"TUGGER T-SLOT BOLT, 1/2-13 THREAD SIZE,",TE-CO,46410,46410,SG5046410,SG5046410,,toolong
"TUGGER T-SLOT BOLT, 1/2-13 THREAD SIZE,",TE-CO,46411,46411,SG5046411,SG5046411,,toolong
"TUGGER T-SLOT BOLT, 5/8-11 THREAD SIZE,",TE-CO,46506,46506,SG5046506,SG5046506,,toolong
"TUGGER T-SLOT BOLT, 5/8-11 THREAD SIZE,",TE-CO,46508,46508,SG5046508,SG5046508,,toolong
"TUGGER T-SLOT BOLT, 3/4-10 THREAD SIZE,",TE-CO,46603,46603,SG5046603,SG5046603,,toolong
"TUGGER T-SLOT BOLT, 3/4-10 THREAD SIZE,",TE-CO,46607,46607,SG5046607,SG5046607,,toolong
"HEAVY DUTY T-SLOT BOLT, 1/2-13 THREAD SI",TE-CO,45460,45460,SG5045460,SG5045460,,toolong
"HEAVY DUTY T-SLOT BOLT, 1/2-13 THREAD SI",TE-CO,45462,45462,SG5045462,SG5045462,,toolong
"HEAVY DUTY T-SLOT BOLT, 1/2-13 THREAD SI",TE-CO,45464,45464,SG5045464,SG5045464,,toolong
"HEAVY DUTY T-SLOT BOLT, 1/2-13 THREAD SI",TE-CO,45465,45465,SG5045465,SG5045465,,toolong
"HEAVY DUTY T-SLOT BOLT, 1/2-13 THREAD SI",TE-CO,45466,45466,SG5045466,SG5045466,,toolong
"HEAVY DUTY T-SLOT BOLT, 1/2-13 THREAD SI",TE-CO,45467,45467,SG5045467,SG5045467,,toolong
"HEAVY DUTY T-SLOT BOLT, 1/2-13 THREAD SI",TE-CO,45468,45468,SG5045468,SG5045468,,toolong
"HEAVY DUTY T-SLOT BOLT, 5/8-11 THREAD SI",TE-CO,45560,45560,SG5045560,SG5045560,,toolong
"HEAVY DUTY T-SLOT BOLT, 5/8-11 THREAD SI",TE-CO,45562,45562,SG5045562,SG5045562,,toolong
"HEAVY DUTY T-SLOT BOLT, 5/8-11 THREAD SI",TE-CO,45564,45564,SG5045564,SG5045564,,toolong
"HEAVY DUTY T-SLOT BOLT, 5/8-11 THREAD SI",TE-CO,45565,45565,SG5045565,SG5045565,,toolong
"HEAVY DUTY T-SLOT BOLT, 5/8-11 THREAD SI",TE-CO,45566,45566,SG5045566,SG5045566,,toolong
"HEAVY DUTY T-SLOT BOLT, 5/8-11 THREAD SI",TE-CO,45567,45567,SG5045567,SG5045567,,toolong
"HEAVY DUTY T-SLOT BOLT, 5/8-11 THREAD SI",TE-CO,45568,45568,SG5045568,SG5045568,,toolong
"HEAVY DUTY T-SLOT BOLT, 5/8-11 THREAD SI",TE-CO,45572,45572,SG5045572,SG5045572,,toolong
"HEAVY DUTY T-SLOT BOLT, 5/8-11 THREAD SI",TE-CO,45573,45573,SG5045573,SG5045573,,toolong
"HEAVY DUTY T-SLOT BOLT, 3/4-10 THREAD SI",TE-CO,45660,45660,SG5045660,SG5045660,,toolong
"HEAVY DUTY T-SLOT BOLT, 3/4-10 THREAD SI",TE-CO,45662,45662,SG5045662,SG5045662,,toolong
"HEAVY DUTY T-SLOT BOLT, 3/4-10 THREAD SI",TE-CO,45663,45663,SG5045663,SG5045663,,toolong
"HEAVY DUTY T-SLOT BOLT, 3/4-10 THREAD SI",TE-CO,45664,45664,SG5045664,SG5045664,,toolong
"HEAVY DUTY T-SLOT BOLT, 3/4-10 THREAD SI",TE-CO,45665,45665,SG5045665,SG5045665,,toolong
"HEAVY DUTY T-SLOT BOLT, 3/4-10 THREAD SI",TE-CO,45666,45666,SG5045666,SG5045666,,toolong
"HEAVY DUTY T-SLOT BOLT, 3/4-10 THREAD SI",TE-CO,45667,45667,SG5045667,SG5045667,,toolong
"HEAVY DUTY T-SLOT BOLT, 3/4-10 THREAD SI",TE-CO,45670,45670,SG5045670,SG5045670,,toolong
7/8 BOLT SIZE - BLACK OXIDE COLD ROLLED,TE-CO,42706,42706,SG5042706,SG5042706,,toolong
1/4-20 THREAD - HEAVY DUTY HARDENED HEX,TE-CO,42101,42101,SG5042101,SG5042101,,toolong
5/16-18 THREAD - HEAVY DUTY HARDENED HEX,TE-CO,42102,42102,SG5042102,SG5042102,,toolong
3/8-16 THREAD - HEAVY DUTY HARDENED HEX,TE-CO,42103,42103,SG5042103,SG5042103,,toolong
7/16-14 THREAD - HEAVY DUTY HARDENED HEX,TE-CO,42104,42104,SG5042104,SG5042104,,toolong
1/2-13 THREAD - HEAVY DUTY HARDENED HEX,TE-CO,42105,42105,SG5042105,SG5042105,,toolong
5/8-11 THREAD - HEAVY DUTY HARDENED HEX,TE-CO,42106,42106,SG5042106,SG5042106,,toolong
3/4-10 THREAD - HEAVY DUTY HARDENED HEX,TE-CO,42107,42107,SG5042107,SG5042107,,toolong
7/8-9 THREAD - HEAVY DUTY HARDENED HEX N,TE-CO,42108,42108,SG5042108,SG5042108,,toolong
1-8 THREAD - HEAVY DUTY HARDENED HEX NUT,TE-CO,42109,42109,SG5042109,SG5042109,,toolong
SWIVEL FLANGE NUT - 1/4-20 THREAD SIZE,TE-CO,42001,42001,SG5042001,SG5042001,,toolong
SWIVEL FLANGE NUT - 5/16-18 THREAD SIZE,TE-CO,42002,42002,SG5042002,SG5042002,,toolong
SWIVEL FLANGE NUT - 3/8-16 THREAD SIZE,TE-CO,42003,42003,SG5042003,SG5042003,,toolong
SWIVEL FLANGE NUT - 1/2-13 THREAD SIZE,TE-CO,42004,42004,SG5042004,SG5042004,,toolong
SWIVEL FLANGE NUT - 5/8-11 THREAD SIZE,TE-CO,42005,42005,SG5042005,SG5042005,,toolong
SWIVEL FLANGE NUT - 3/4-10 THREAD SIZE,TE-CO,42006,42006,SG5042006,SG5042006,,toolong
SWIVEL FLANGE NUT - 7/8-9 THREAD SIZE,TE-CO,42007,42007,SG5042007,SG5042007,,toolong
SWIVEL FLANGE NUT - 1-8 THREAD SIZE,TE-CO,42008,42008,SG5042008,SG5042008,,toolong
FLANGE NUT - 1/4-20 THREAD SIZE,TE-CO,41601,41601,SG5041601,SG5041601,,toolong
FLANGE NUT - 5/16-18 THREAD SIZE,TE-CO,41602,41602,SG5041602,SG5041602,,toolong
FLANGE NUT - 3/8-16 THREAD SIZE,TE-CO,41603,41603,SG5041603,SG5041603,,toolong
FLANGE NUT - 7/16-14 THREAD SIZE,TE-CO,41604,41604,SG5041604,SG5041604,,toolong
FLANGE NUT - 1/2-13 THREAD SIZE,TE-CO,41605,41605,SG5041605,SG5041605,,toolong
FLANGE NUT - 5/8-11 THREAD SIZE,TE-CO,41606,41606,SG5041606,SG5041606,,toolong
FLANGE NUT - 3/4-10 THREAD SIZE,TE-CO,41607,41607,SG5041607,SG5041607,,toolong
FLANGE NUT - 7/8-9 THREAD SIZE,TE-CO,41608,41608,SG5041608,SG5041608,,toolong
FLANGE NUT - 1-8 THREAD SIZE,TE-CO,41609,41609,SG5041609,SG5041609,,toolong
FLANGE NUT - 1 1/4-7 THREAD SIZE,TE-CO,41611,41611,SG5041611,SG5041611,,toolong
COUPLING NUT - 1/4-20 THREAD SIZE,TE-CO,41501,41501,SG5041501,SG5041501,,toolong
COUPLING NUT - 5/16-18 THREAD SIZE,TE-CO,41502,41502,SG5041502,SG5041502,,toolong
COUPLING NUT - 3/8-16 THREAD SIZE,TE-CO,41503,41503,SG5041503,SG5041503,,toolong
COUPLING NUT - 7/16-14 THREAD SIZE,TE-CO,41504,41504,SG5041504,SG5041504,,toolong
COUPLING NUT - 1/2-13 THREAD SIZE,TE-CO,41505,41505,SG5041505,SG5041505,,toolong
COUPLING NUT - 5/8-11 THREAD SIZE,TE-CO,41506,41506,SG5041506,SG5041506,,toolong
COUPLING NUT - 3/4-10 THREAD SIZE,TE-CO,41507,41507,SG5041507,SG5041507,,toolong
COUPLING NUT - 7/8-9 THREAD SIZE,TE-CO,41508,41508,SG5041508,SG5041508,,toolong
COUPLING NUT - 1-8 THREAD SIZE,TE-CO,41509,41509,SG5041509,SG5041509,,toolong
QUARTER TURN T-SLOT NUT - 3/8-16 THREAD,TE-CO,41450,41450,SG5041450,SG5041450,,toolong
QUARTER TURN T-SLOT NUT - 3/8-16 THREAD,TE-CO,41451,41451,SG5041451,SG5041451,,toolong
QUARTER TURN T-SLOT NUT - 1/2-13 THREAD,TE-CO,41452,41452,SG5041452,SG5041452,,toolong
QUARTER TURN T-SLOT NUT - 1/2-13 THREAD,TE-CO,41453,41453,SG5041453,SG5041453,,toolong
QUARTER TURN T-SLOT NUT - 5/8-11 THREAD,TE-CO,41454,41454,SG5041454,SG5041454,,toolong
QUARTER TURN T-SLOT NUT - 5/8-11 THREAD,TE-CO,41455,41455,SG5041455,SG5041455,,toolong
QUARTER TURN T-SLOT NUT - 1/2-13 THREAD,TE-CO,41456,41456,SG5041456,SG5041456,,toolong
QUARTER TURN T-SLOT NUT - 3/4-10 THREAD,TE-CO,41457,41457,SG5041457,SG5041457,,toolong
"T-SLOT NUT - 1/4-20 THREAD SIZE, 5/16 TA",TE-CO,41401,41401,SG5041401,SG5041401,,toolong
"T-SLOT NUT - 1/4-20 THREAD SIZE, 3/8 TAB",TE-CO,41402,41402,SG5041402,SG5041402,,toolong
"T-SLOT NUT - 5/16-18 THREAD SIZE, 3/8 TA",TE-CO,41403,41403,SG5041403,SG5041403,,toolong
"T-SLOT NUT - 3/8-16 THREAD SIZE, 7/16 TA",TE-CO,41404,41404,SG5041404,SG5041404,,toolong
"T-SLOT NUT - 3/8-16 THREAD SIZE, 1/2 TAB",TE-CO,41405,41405,SG5041405,SG5041405,,toolong
"T-SLOT NUT - 3/8-16 THREAD SIZE, 9/16 TA",TE-CO,41406,41406,SG5041406,SG5041406,,toolong
"T-SLOT NUT - 7/16-14 THREAD SIZE, 1/2 TA",TE-CO,41407,41407,SG5041407,SG5041407,,toolong
"T-SLOT NUT - 7/16-14 THREAD SIZE, 1/2 TA",TE-CO,41408,41408,SG5041408,SG5041408,,toolong
"T-SLOT NUT - 1/2-13 THREAD SIZE, 9/16 TA",TE-CO,41409,41409,SG5041409,SG5041409,,toolong
"T-SLOT NUT - 1/2-13 THREAD SIZE, 5/8 TAB",TE-CO,41410,41410,SG5041410,SG5041410,,toolong
"T-SLOT NUT - 1/2-13 THREAD SIZE, 5/8 TAB",TE-CO,41411,41411,SG5041411,SG5041411,,toolong
"T-SLOT NUT - 1/2-13 THREAD SIZE, 11/16 T",TE-CO,41412,41412,SG5041412,SG5041412,,toolong
"T-SLOT NUT - 1/2-13 THREAD SIZE, 3/4 TAB",TE-CO,41413,41413,SG5041413,SG5041413,,toolong
"T-SLOT NUT - 5/8-11 THREAD SIZE, 11/16 T",TE-CO,41415,41415,SG5041415,SG5041415,,toolong
"T-SLOT NUT - 5/8-11 THREAD SIZE, 3/4 TAB",TE-CO,41416,41416,SG5041416,SG5041416,,toolong
"T-SLOT NUT - 5/8-11 THREAD SIZE, 13/16 T",TE-CO,41417,41417,SG5041417,SG5041417,,toolong
"T-SLOT NUT - 3/4-10 THREAD SIZE, 13/16 T",TE-CO,41418,41418,SG5041418,SG5041418,,toolong
"T-SLOT NUT - 3/4-10 THREAD SIZE, 7/8 TAB",TE-CO,41419,41419,SG5041419,SG5041419,,toolong
"T-SLOT NUT - 3/4-10 THREAD SIZE, 1 TABLE",TE-CO,41420,41420,SG5041420,SG5041420,,toolong
"T-SLOT NUT - 3/4-10 THREAD SIZE, 1 TABLE",TE-CO,41421,41421,SG5041421,SG5041421,,toolong
"T-SLOT NUT - 3/4-10 THREAD SIZE, 1-1/16",TE-CO,41422,41422,SG5041422,SG5041422,,toolong
