Item Master Primary Spec/Item Status Information/Archive,Item Master Primary Spec/Common Information/Commercial and Government Entity Code,Item Master Primary Spec/Common Information/Contract Number,Item Master Primary Spec/Common Information/Part Number,Item Master Primary Spec/Common Information/Part Name,Item Master Primary Spec/Common Information/Federal Supply Class,Item Master Primary Spec/Pricing/Original Unit Price,Item Master Primary Spec/Pricing/Original Unit of Issue,Item Master Primary Spec/Pricing/Quantity Per Unit Pack,Item Master Primary Spec/Common Information/Original Equipment Manufacturer Part Number,Item Master Primary Spec/Common Information/Original Equipment Manufacturer CAGE Code,Item Master Primary Spec/Common Information/Original Equipment Manufacturer Name,Item Master Primary Spec/Short Description,Item Master Primary Spec/Common Information/Days After Receipt of Order,Item Master Primary Spec/Long Description,Item Master Primary Spec/Common Information/Universal Product Code,Item Master Primary Spec/Commercial Information/Environmental Information/Hazardous Material Flag,Item Master Primary Spec/Sale Pricing/Sale Start Date,Item Master Primary Spec/Sale Pricing/Sale End Date,Item Master Primary Spec/Sale Pricing/Sale Price,Item Master Primary Spec/Commercial Information/Shipping Information/Shipment Level of Service/Standard Shipment Price,Item Master Primary Spec/Commercial Information/Shipping Information/Shipment Level of Service/Expedited Shipment Price,Item Master Primary Spec/Commercial Information/Shipping Information/Shipment Level of Service/Next Day Shipment Price,Item Master Primary Spec/Special Properties/Environmentally Preferred/Environmentally Preferred Indicator,Item Master Primary Spec/Special Properties/Environmentally Preferred/Justifying Comment,Item Master Primary Spec/Special Properties/Energy Star/Energy Star Indicator,Item Master Primary Spec/Special Properties/Energy Star/Justifying Comment
6RV912,8-PORT INDUSTRIAL FAST ETHERNETPOE+ DIN,7010,184.3,EA,0,6RV912,,TRENDNET INC,8-PORT INDUSTRIAL FAST ETHERNETPOE+ DIN-RAIL SWITCH ING!!!,8,8-PORT INDUSTRIAL FAST ETHERNETPOE+ DIN-RAIL SWITCH ING!!!,,,,,,,,,,,,,,,
6QQ844,16PORT INDUSTRIAL SWITCH 16PORT I,7010,558.85,EA,0,6QQ844,,TRENDNET INC,16PORT INDUSTRIAL SWITCH 16PORT INDUSTRIAL GIGABIT SWITCH ING!!!,8,16PORT INDUSTRIAL SWITCH 16PORT INDUSTRIAL GIGABIT SWITCH ING!!!,,,,,,,,,,,,,,,
7HD945,14PORT GIGABIT POE+ INDUSTRIAL POE+ DIN,7010,570.74,EA,0,7HD945,,TRENDNET INC,14PORT GIGABIT POE+ INDUSTRIAL POE+ DIN-RAIL SWITCH ING!!!,8,14PORT GIGABIT POE+ INDUSTRIAL POE+ DIN-RAIL SWITCH ING!!!,,,,,,,,,,,,,,,
7FY906,5-PORT INDUSTRIAL GIGABIT POE+ DIN-RAIL,7010,202.14,EA,0,7FY906,,TRENDNET INC,5-PORT INDUSTRIAL GIGABIT POE+ DIN-RAIL SWITCH ING!!!,8,5-PORT INDUSTRIAL GIGABIT POE+ DIN-RAIL SWITCH ING!!!,,,,,,,,,,,,,,,
6PB585,5PORT GIGABIT POE ACCESS SWITCH5-PORT G,7010,214.03,EA,0,6PB585,,TRENDNET INC,5PORT GIGABIT POE ACCESS SWITCH5-PORT GIGABIT POE ACCESS SWITCH ING!!!,8,5PORT GIGABIT POE ACCESS SWITCH5-PORT GIGABIT POE ACCESS SWITCH ING!!!,,,,,,,,,,,,,,,
6KT743,8PORT IND GIG POE+ DIN-RAIL SWITCH,7010,404.27,EA,0,6KT743,,TRENDNET INC,8PORT IND GIG POE+ DIN-RAIL SWITCH ING!!!,8,8PORT IND GIG POE+ DIN-RAIL SWITCH ING!!!,,,,,,,,,,,,,,,
6PB584,8PORT GIGABIT POE ACCESS SWITCH8-PORT G,7010,303.2,EA,0,6PB584,,TRENDNET INC,8PORT GIGABIT POE ACCESS SWITCH8-PORT GIGABIT POE ACCESS SWITCH ING!!!,8,8PORT GIGABIT POE ACCESS SWITCH8-PORT GIGABIT POE ACCESS SWITCH ING!!!,,,,,,,,,,,,,,,
2M4440,240W SINGLE OUTPUT INDUSTRIAL DIN-RAIL,7010,184.3,EA,0,2M4440,,TRENDNET INC,240W SINGLE OUTPUT INDUSTRIAL DIN-RAIL POWER SUPPLY ING!!!,8,240W SINGLE OUTPUT INDUSTRIAL DIN-RAIL POWER SUPPLY ING!!!,,,,,,,,,,,,,,,
6YL440,4-PORT DUAL MONITOR DISPLAYPORT,7010,424.05,EA,0,6YL440,,TRENDNET INC,4-PORT DUAL MONITOR DISPLAYPORT ING!!!,8,4-PORT DUAL MONITOR DISPLAYPORT ING!!!,,,,,,,,,,,,,,,
Q72875,8PORT KVM USB PS2 COMBO RACK MOUNT SW,7010,154.57,EA,0,Q72875,,TRENDNET INC,8PORT KVM USB PS2 COMBO RACK MOUNT SWITCH PC LINUX MAC P&P ING!!!,8,8PORT KVM USB PS2 COMBO RACK MOUNT SWITCH PC LINUX MAC P&P ING!!!,,,,,,,,,,,,,,,
3FH329,KVM EXTENSION KIT UP TO 50M W/ AUDIO SU,7010,166.46,EA,0,3FH329,,TRENDNET INC,KVM EXTENSION KIT UP TO 50M W/ AUDIO SUP ING!!!,8,KVM EXTENSION KIT UP TO 50M W/ AUDIO SUP ING!!!,,,,,,,,,,,,,,,
6YK286,14-PORT GIGABIT MANAGED LAYER 2 SFP SW,7010,398.33,EA,0,6YK286,,TRENDNET INC,14-PORT GIGABIT MANAGED LAYER 2 SFP SWITCH WITH 2 SHARED RJ-45 ING!!!,8,14-PORT GIGABIT MANAGED LAYER 2 SFP SWITCH WITH 2 SHARED RJ-45 ING!!!,,,,,,,,,,,,,,,
DX6199,24PORT 10/100/1000 4PORT MINI-GBI,7010,344.81,EA,0,DX6199,,TRENDNET INC,24PORT 10/100/1000 4PORT MINI-GBIC 4PORT GB ENET LAYER2 SW ING!!!,8,24PORT 10/100/1000 4PORT MINI-GBIC 4PORT GB ENET LAYER2 SW ING!!!,,,,,,,,,,,,,,,
4Q3550,28PORT GB POE+ MANAGED LAYER 2 SWITCH W,7010,582.63,EA,0,4Q3550,,TRENDNET INC,28PORT GB POE+ MANAGED LAYER 2 SWITCH WITH 4 SFP SLOTS ING!!!,8,28PORT GB POE+ MANAGED LAYER 2 SWITCH WITH 4 SFP SLOTS ING!!!,,,,,,,,,,,,,,,
XN0477,GIGABIT POE SPLITTER POWERED BY THE P,7010,20.21,EA,0,XN0477,,TRENDNET INC,GIGABIT POE SPLITTER POWERED BY THE POE CONNECTION ING!!!,8,GIGABIT POE SPLITTER POWERED BY THE POE CONNECTION ING!!!,,,,,,,,,,,,,,,
PD1234,GIGABIT POE INJECTOR PRODUCE A GIGABIT,7010,26.16,EA,0,PD1234,,TRENDNET INC,GIGABIT POE INJECTOR PRODUCE A GIGABIT POE SIGNAL ING!!!,8,GIGABIT POE INJECTOR PRODUCE A GIGABIT POE SIGNAL ING!!!,,,,,,,,,,,,,,,
QY3584,TPE-115GI GIGABIT POE INJECTOR FULL DUP,7010,35.67,EA,0,QY3584,,TRENDNET INC,TPE-115GI GIGABIT POE INJECTOR FULL DUPLEX ENET SPEED ING!!!,8,TPE-115GI GIGABIT POE INJECTOR FULL DUPLEX ENET SPEED ING!!!,,,,,,,,,,,,,,,
8D8917,GIGABIT ULTRA POE+ INJECTOR FULL DUP,7010,83.23,EA,0,8D8917,,TRENDNET INC,GIGABIT ULTRA POE+ INJECTOR FULL DUPLEX GIGABIT SPEEDS ING!!!,8,GIGABIT ULTRA POE+ INJECTOR FULL DUPLEX GIGABIT SPEEDS ING!!!,,,,,,,,,,,,,,,
7MQ886,65W 4PORT GIGABIT POE+ INJECTOR,7010,107.01,EA,0,7MQ886,,TRENDNET INC,65W 4PORT GIGABIT POE+ INJECTOR ING!!!,8,65W 4PORT GIGABIT POE+ INJECTOR ING!!!,,,,,,,,,,,,,,,
7FX917,16 X GIGABIT POE+ PORTS 20-PORTGIGABIT,7010,517.23,EA,0,7FX917,,TRENDNET INC,16 X GIGABIT POE+ PORTS 20-PORTGIGABIT WEB SMART 370W POE+ SWITCH ING!!!,8,16 X GIGABIT POE+ PORTS 20-PORTGIGABIT WEB SMART 370W POE+ SWITCH ING!!!,,,,,,,,,,,,,,,
9V0323,52PORT GIBABIT WEB SMART POE+ SWITCH,7010,832.32,EA,0,9V0323,,TRENDNET INC,52PORT GIBABIT WEB SMART POE+ SWITCH ING!!!,8,52PORT GIBABIT WEB SMART POE+ SWITCH ING!!!,,,,,,,,,,,,,,,
2DA570,52PORT 48GB WEB SMART POE SWITCH,7010,630.19,EA,0,2DA570,,TRENDNET INC,52PORT 48GB WEB SMART POE SWITCH ING!!!,8,52PORT 48GB WEB SMART POE SWITCH ING!!!,,,,,,,,,,,,,,,
YL9872,GIGABIT POE+ REPEATER 48PORT GIGABIT,7010,71.34,EA,0,YL9872,,TRENDNET INC,GIGABIT POE+ REPEATER 48PORT GIGABIT WEB SMART POE+SWITCH ING!!!,8,GIGABIT POE+ REPEATER 48PORT GIGABIT WEB SMART POE+SWITCH ING!!!,,,,,,,,,,,,,,,
YL9875,GIGABIT POE+ REPEATER/AMPLIFIER,7010,95.12,EA,0,YL9875,,TRENDNET INC,GIGABIT POE+ REPEATER/AMPLIFIER ING!!!,8,GIGABIT POE+ REPEATER/AMPLIFIER ING!!!,,,,,,,,,,,,,,,
3DT082,SWITCH WITH POE PASS THROUGH 5PORT GI,7010,71.34,EA,0,3DT082,,TRENDNET INC,SWITCH WITH POE PASS THROUGH 5PORT GIGABIT POE POWERED EDGESMART ING!!!,8,SWITCH WITH POE PASS THROUGH 5PORT GIGABIT POE POWERED EDGESMART ING!!!,,,,,,,,,,,,,,,
2V0913,5-PORT 10/100 MBPS POE SWITCH 1GBPS SW,7010,47.56,EA,0,2V0913,,TRENDNET INC,5-PORT 10/100 MBPS POE SWITCH 1GBPS SWITCHING CAPACITY ING!!!,8,5-PORT 10/100 MBPS POE SWITCH 1GBPS SWITCHING CAPACITY ING!!!,,,,,,,,,,,,,,,
TQ8183,8PORT 10/100 ENET POE+SWITCH,7010,142.68,EA,0,TQ8183,,TRENDNET INC,8PORT 10/100 ENET POE+SWITCH ING!!!,8,8PORT 10/100 ENET POE+SWITCH ING!!!,,,,,,,,,,,,,,,
VZ0050,5PORT GIGABIT POE SWITCH 10GBPSSWITCHIN,7010,76.41,EA,0,VZ0050,,TRENDNET INC,5PORT GIGABIT POE SWITCH 10GBPSSWITCHING CAPACITY ING!!!,8,5PORT GIGABIT POE SWITCH 10GBPSSWITCHING CAPACITY ING!!!,,,,,,,,,,,,,,,
6RV911,6-PORT GIGABIT POE+ SWITCH 4 X GIGA,7010,107.01,EA,0,6RV911,,TRENDNET INC,6-PORT GIGABIT POE+ SWITCH 4 X GIGABIT POE+ PORTS ING!!!,8,6-PORT GIGABIT POE+ SWITCH 4 X GIGABIT POE+ PORTS ING!!!,,,,,,,,,,,,,,,
QY3582,TPE-TG81G 8PORT GIGABIT GREENNET,7010,166.46,EA,0,QY3582,,TRENDNET INC,TPE-TG81G 8PORT GIGABIT GREENNET POE SWITCH ING!!!,8,TPE-TG81G 8PORT GIGABIT GREENNET POE SWITCH ING!!!,,,,,,,,,,,,,,,
3DN958,8XGIGABIT POE + PORTS 8-PORT G,7010,118.9,EA,0,3DN958,,TRENDNET INC,8XGIGABIT POE + PORTS 8-PORT GIGABIT EDGESMART POE+SWITCH ING!!!,8,8XGIGABIT POE + PORTS 8-PORT GIGABIT EDGESMART POE+SWITCH ING!!!,,,,,,,,,,,,,,,
6KW365,48 CH CAMERA EVO LICS,7010,1011.93,EA,0,6KW365,,TRENDNET INC,48 CH CAMERA EVO LICS ING!!!,8,48 CH CAMERA EVO LICS ING!!!,,,,,,,,,,,,,,,
6KW366,72 CH CAMERA EVO LICS,7010,1517.89,EA,0,6KW366,,TRENDNET INC,72 CH CAMERA EVO LICS ING!!!,8,72 CH CAMERA EVO LICS ING!!!,,,,,,,,,,,,,,,
6KW368,UNLIMITED CAMERA EVO LICS,7010,4047.72,EA,0,6KW368,,TRENDNET INC,UNLIMITED CAMERA EVO LICS ING!!!,8,UNLIMITED CAMERA EVO LICS ING!!!,,,,,,,,,,,,,,,
6B5701,TV-IP344PI 4MP BULLET CAMERA 2.8-12MM,7010,297.26,EA,0,6B5701,,TRENDNET INC,TV-IP344PI 4MP BULLET CAMERA 2.8-12MM 30M IP66 WDR ENET ING!!!,8,TV-IP344PI 4MP BULLET CAMERA 2.8-12MM 30M IP66 WDR ENET ING!!!,,,,,,,,,,,,,,,
6B5702,INDOOR/OUTDOOR CAMERA 4MP VARIFOCA,7010,297.26,EA,0,6B5702,,TRENDNET INC,INDOOR/OUTDOOR CAMERA 4MP VARIFOCAL POE IR DOME NTWK CAMERA ING!!!,8,INDOOR/OUTDOOR CAMERA 4MP VARIFOCAL POE IR DOME NTWK CAMERA ING!!!,,,,,,,,,,,,,,,
4AH957,BULK KRAKEN AMS BLK CASE MAGNETATTACHME,7010,12.88,EA,0,4AH957,,TRIDENT CASE,BULK KRAKEN AMS BLK CASE MAGNETATTACHMENT FOR KRAKEN CASE ING!!!,8,BULK KRAKEN AMS BLK CASE MAGNETATTACHMENT FOR KRAKEN CASE ING!!!,,,,,,,,,,,,,,,
1A5207,CYCLOPS CASE WITH SLIDING STANDCLEAR IN,7010,22.54,EA,0,1A5207,,TRIDENT CASE,CYCLOPS CASE WITH SLIDING STANDCLEAR IN BULK APPLE IPAD AIR 2 ING!!!,8,CYCLOPS CASE WITH SLIDING STANDCLEAR IN BULK APPLE IPAD AIR 2 ING!!!,,,,,,,,,,,,,,,
2TM130,PEGASUS W/STAND/HANDLE BLUE CASE FOR,7010,17.39,EA,0,2TM130,,TRIDENT CASE,PEGASUS W/STAND/HANDLE BLUE CASE FOR KIDS/SCHOOLS IPAD 9.7 ING!!!,8,PEGASUS W/STAND/HANDLE BLUE CASE FOR KIDS/SCHOOLS IPAD 9.7 ING!!!,,,,,,,,,,,,,,,
2TM131,PEGASUS W/STAND/HANDLE BLACK CASE FOR,7010,17.39,EA,0,2TM131,,TRIDENT CASE,PEGASUS W/STAND/HANDLE BLACK CASE FOR KIDS/SCHOOLS IPAD 9.7 ING!!!,8,PEGASUS W/STAND/HANDLE BLACK CASE FOR KIDS/SCHOOLS IPAD 9.7 ING!!!,,,,,,,,,,,,,,,
2TM129,PEGASUS W/HANDLE & STAND RED CASE FOR,7010,17.39,EA,0,2TM129,,TRIDENT CASE,PEGASUS W/HANDLE & STAND RED CASE FOR KIDS/SCHOOLS IPAD 9.7 ING!!!,8,PEGASUS W/HANDLE & STAND RED CASE FOR KIDS/SCHOOLS IPAD 9.7 ING!!!,,,,,,,,,,,,,,,
4AH959,BULK PEGASUS BLUE/BLK CASE W/ HANDLE &,7010,17.39,EA,0,4AH959,,TRIDENT CASE,BULK PEGASUS BLUE/BLK CASE W/ HANDLE & STAND FOR IPAD MINI4 ING!!!,8,BULK PEGASUS BLUE/BLK CASE W/ HANDLE & STAND FOR IPAD MINI4 ING!!!,,,,,,,,,,,,,,,
4AH960,BULK PEGASUS BLACK CASE W/ HANDLE &,7010,17.39,EA,0,4AH960,,TRIDENT CASE,BULK PEGASUS BLACK CASE W/ HANDLE & STAND FOR IPAD MINI4 ING!!!,8,BULK PEGASUS BLACK CASE W/ HANDLE & STAND FOR IPAD MINI4 ING!!!,,,,,,,,,,,,,,,
4AH961,BULK PEGASUS RED/BLK CASE W/ HANDLE &,7010,17.39,EA,0,4AH961,,TRIDENT CASE,BULK PEGASUS RED/BLK CASE W/ HANDLE & STAND FOR IPAD MINI4 ING!!!,8,BULK PEGASUS RED/BLK CASE W/ HANDLE & STAND FOR IPAD MINI4 ING!!!,,,,,,,,,,,,,,,
9Z3063,KRAKEN AMS BLACK CASE FOR APPLEIPAD PRO,7010,27.05,EA,0,9Z3063,,TRIDENT CASE,KRAKEN AMS BLACK CASE FOR APPLEIPAD PRO 10.5 ING!!!,8,KRAKEN AMS BLACK CASE FOR APPLEIPAD PRO 10.5 ING!!!,,,,,,,,,,,,,,,
9B0972,KRAKEN AMS CASE IPAD 9.7 2017 BLCK (BU,7010,27.05,EA,0,9B0972,,TRIDENT CASE,KRAKEN AMS CASE IPAD 9.7 2017 BLCK (BULK) ING!!!,8,KRAKEN AMS CASE IPAD 9.7 2017 BLCK (BULK) ING!!!,,,,,,,,,,,,,,,
8W8989,KRAKEN AMS INDUSTRIAL SERIES BLACK CA,7010,40.58,EA,0,8W8989,,TRIDENT CASE,KRAKEN AMS INDUSTRIAL SERIES BLACK CASE F/IPAD 2017 9.7IN BULK ING!!!,8,KRAKEN AMS INDUSTRIAL SERIES BLACK CASE F/IPAD 2017 9.7IN BULK ING!!!,,,,,,,,,,,,,,,
YN8320,KRAKEN AMS BLUE CASE FOR APPLEIPAD AIR,7010,27.05,EA,0,YN8320,,TRIDENT CASE,KRAKEN AMS BLUE CASE FOR APPLEIPAD AIR 2 ING!!!,8,KRAKEN AMS BLUE CASE FOR APPLEIPAD AIR 2 ING!!!,,,,,,,,,,,,,,,
4AH958,BULK KRAKEN CLEAR CASE FOR IPAD AIR,7010,27.05,EA,0,4AH958,,TRIDENT CASE,BULK KRAKEN CLEAR CASE FOR IPAD AIR2 ING!!!,8,BULK KRAKEN CLEAR CASE FOR IPAD AIR2 ING!!!,,,,,,,,,,,,,,,
2Z9913,KRAKEN AMS INDUSTRIAL SERIES F/IPAD AIR,7010,40.58,EA,0,2Z9913,,TRIDENT CASE,KRAKEN AMS INDUSTRIAL SERIES F/IPAD AIR 2 W/BUILT-IN HANDLE WHITE ING!!!,8,KRAKEN AMS INDUSTRIAL SERIES F/IPAD AIR 2 W/BUILT-IN HANDLE WHITE ING!!!,,,,,,,,,,,,,,,
1V8622,KRAKEN AMS CASE FOR APPLE IPAD PRO 9.7,7010,27.05,EA,0,1V8622,,TRIDENT CASE,KRAKEN AMS CASE FOR APPLE IPAD PRO 9.7 BLACK ING!!!,8,KRAKEN AMS CASE FOR APPLE IPAD PRO 9.7 BLACK ING!!!,,,,,,,,,,,,,,,
1V8623,KRAKEN AMS CASE FOR APPLE IPAD PRO 9.7,7010,27.05,EA,0,1V8623,,TRIDENT CASE,KRAKEN AMS CASE FOR APPLE IPAD PRO 9.7 BLUE ING!!!,8,KRAKEN AMS CASE FOR APPLE IPAD PRO 9.7 BLUE ING!!!,,,,,,,,,,,,,,,
8W8993,CYCLOPS CLEAR CASE FOR APPLE IP,7010,22.54,EA,0,8W8993,,TRIDENT CASE,CYCLOPS CLEAR CASE FOR APPLE IPAD 2017 9.7IN BULK ING!!!,8,CYCLOPS CLEAR CASE FOR APPLE IPAD 2017 9.7IN BULK ING!!!,,,,,,,,,,,,,,,
8W8991,CYCLOPS BLACK CASE FOR APPLE IP,7010,22.54,EA,0,8W8991,,TRIDENT CASE,CYCLOPS BLACK CASE FOR APPLE IPAD 2017 9.7IN BULK ING!!!,8,CYCLOPS BLACK CASE FOR APPLE IPAD 2017 9.7IN BULK ING!!!,,,,,,,,,,,,,,,
2TM140,USB 20 SLOT CHARGING CART FOR TABLETS,7010,811.51,EA,0,2TM140,,TRIDENT CASE,USB 20 SLOT CHARGING CART FOR TABLETS PHONES LAPTOPS ING!!!,8,USB 20 SLOT CHARGING CART FOR TABLETS PHONES LAPTOPS ING!!!,,,,,,,,,,,,,,,
2TM143,AC 30 SLOT CHARGING CART FOR CHROMEBO,7010,1172.19,EA,0,2TM143,,TRIDENT CASE,AC 30 SLOT CHARGING CART FOR CHROMEBOOKS LAPTOPS ING!!!,8,AC 30 SLOT CHARGING CART FOR CHROMEBOOKS LAPTOPS ING!!!,,,,,,,,,,,,,,,
2TM141,USB W/ SYNC 32SLOT CART CHARGING,7010,1532.87,EA,0,2TM141,,TRIDENT CASE,USB W/ SYNC 32SLOT CART CHARGING CART ING!!!,8,USB W/ SYNC 32SLOT CART CHARGING CART ING!!!,,,,,,,,,,,,,,,
2TM142,USB 32 SLOT CHARGING CART FOR TABLETS,7010,1307.44,EA,0,2TM142,,TRIDENT CASE,USB 32 SLOT CHARGING CART FOR TABLETS PHONES LAPTOPS ING!!!,8,USB 32 SLOT CHARGING CART FOR TABLETS PHONES LAPTOPS ING!!!,,,,,,,,,,,,,,,
2TM144,AC 42 SLOT CHARGING CART FOR CHROMEBO,7010,1532.87,EA,0,2TM144,,TRIDENT CASE,AC 42 SLOT CHARGING CART FOR CHROMEBOOKS LAPTOPS ING!!!,8,AC 42 SLOT CHARGING CART FOR CHROMEBOOKS LAPTOPS ING!!!,,,,,,,,,,,,,,,
2TM132,CHROMEBOOK PREMIUM GRAY SLEEVE FOR 13IN,7010,10.31,EA,0,2TM132,,TRIDENT CASE,CHROMEBOOK PREMIUM GRAY SLEEVE FOR 13IN CHROMEBOOK ING!!!,8,CHROMEBOOK PREMIUM GRAY SLEEVE FOR 13IN CHROMEBOOK ING!!!,,,,,,,,,,,,,,,
2TM133,CHROMEBOOK PREMIUM BLACK SLEEVEFOR 13IN,7010,10.31,EA,0,2TM133,,TRIDENT CASE,CHROMEBOOK PREMIUM BLACK SLEEVEFOR 13IN CHROMEBOOK ING!!!,8,CHROMEBOOK PREMIUM BLACK SLEEVEFOR 13IN CHROMEBOOK ING!!!,,,,,,,,,,,,,,,
2TM134,CHROMEBOOK PREMIUM GRAY SLEEVE FOR 15IN,7010,10.31,EA,0,2TM134,,TRIDENT CASE,CHROMEBOOK PREMIUM GRAY SLEEVE FOR 15IN CHROMEBOOKS ING!!!,8,CHROMEBOOK PREMIUM GRAY SLEEVE FOR 15IN CHROMEBOOKS ING!!!,,,,,,,,,,,,,,,
2TM135,CHROMEBOOK PREMIUM BLACK SLEEVEFOR 15IN,7010,10.31,EA,0,2TM135,,TRIDENT CASE,CHROMEBOOK PREMIUM BLACK SLEEVEFOR 15IN CHROMEBOOKS ING!!!,8,CHROMEBOOK PREMIUM BLACK SLEEVEFOR 15IN CHROMEBOOKS ING!!!,,,,,,,,,,,,,,,
1E5319,4000W INT INVERTER CHARGER 230V48VDC AT,7010,2612.5,EA,0,1E5319,,TRIPP LITE,4000W INT INVERTER CHARGER 230V48VDC ATS RJ45 HARDWIRE SINE WAVE ING!!!,8,4000W INT INVERTER CHARGER 230V48VDC ATS RJ45 HARDWIRE SINE WAVE ING!!!,,,,,,,,,,,,,,,
7PU748,HDMI/USB KVM SWITCH 8PORT 1U AUDIO/VI,7010,600.0,EA,0,7PU748,,TRIPP LITE,HDMI/USB KVM SWITCH 8PORT 1U AUDIO/VIDEO USB PERIPHERAL SHARING ING!!!,8,HDMI/USB KVM SWITCH 8PORT 1U AUDIO/VIDEO USB PERIPHERAL SHARING ING!!!,,,,,,,,,,,,,,,
7PU749,HDMI/USB KVM SWITCH 16PORT 1U AUDIO/VI,7010,850.0,EA,0,7PU749,,TRIPP LITE,HDMI/USB KVM SWITCH 16PORT 1U AUDIO/VIDEO USB PERIPHERAL SHARING ING!!!,8,HDMI/USB KVM SWITCH 16PORT 1U AUDIO/VIDEO USB PERIPHERAL SHARING ING!!!,,,,,,,,,,,,,,,
7JF557,HDMI OVER CAT6 EXTENDER KIT W/ POWER,7010,366.74,EA,0,7JF557,,TRIPP LITE,HDMI OVER CAT6 EXTENDER KIT W/ POWER OVER CABLE 4K 60HZ 4:4:4 ING!!!,8,HDMI OVER CAT6 EXTENDER KIT W/ POWER OVER CABLE 4K 60HZ 4:4:4 ING!!!,,,,,,,,,,,,,,,
7PU750,USB OVER CAT5/CAT6 EXTENDER KIT1PORT W/,7010,80.0,EA,0,7PU750,,TRIPP LITE,USB OVER CAT5/CAT6 EXTENDER KIT1PORT W/ POC USB 2.0 164 FT ING!!!,8,USB OVER CAT5/CAT6 EXTENDER KIT1PORT W/ POC USB 2.0 164 FT ING!!!,,,,,,,,,,,,,,,
7PU751,USB OVER CAT5/CAT6 EXTENDER KIT4PORT W/,7010,90.0,EA,0,7PU751,,TRIPP LITE,USB OVER CAT5/CAT6 EXTENDER KIT4PORT W/ POC USB 2.0 164 FT ING!!!,8,USB OVER CAT5/CAT6 EXTENDER KIT4PORT W/ POC USB 2.0 164 FT ING!!!,,,,,,,,,,,,,,,
9K4428,UPS EXT BATTERY PACK 192V TOWERSU5000 S,7010,25926.75,EA,0,9K4428,,TRIPP LITE,UPS EXT BATTERY PACK 192V TOWERSU5000 SU6000 SU8000 TAA ING!!!,8,UPS EXT BATTERY PACK 192V TOWERSU5000 SU6000 SU8000 TAA ING!!!,,,,,,,,,,,,,,,
9K4433,UPS EXT BATTERY PACK 240V TOWER1-PHASE,7010,28260.0,EA,0,9K4433,,TRIPP LITE,UPS EXT BATTERY PACK 240V TOWER1-PHASE SU6K SU8K SU10K ING!!!,8,UPS EXT BATTERY PACK 240V TOWER1-PHASE SU6K SU8K SU10K ING!!!,,,,,,,,,,,,,,,
YE3783,HDMI TO VGA ADAPTER CONVERTER 1920X108,7010,21.57,EA,0,YE3783,,TRIPP LITE,HDMI TO VGA ADAPTER CONVERTER 1920X1080 LAPTOP/CHROMEBOOKS M/F ING!!!,8,HDMI TO VGA ADAPTER CONVERTER 1920X1080 LAPTOP/CHROMEBOOKS M/F ING!!!,,,,,,,,,,,,,,,
VR5987,6IN MINI HDMI TO VGA ADAPTER CONVERTE,7010,16.18,EA,0,VR5987,,TRIPP LITE,6IN MINI HDMI TO VGA ADAPTER CONVERTER FOR TABLETS/SMARTPHONES ING!!!,8,6IN MINI HDMI TO VGA ADAPTER CONVERTER FOR TABLETS/SMARTPHONES ING!!!,,,,,,,,,,,,,,,
4AU260,MINI DISPLAYPORT DVI ADAPTER CONVERTE,7010,10.25,EA,0,4AU260,,TRIPP LITE,MINI DISPLAYPORT DVI ADAPTER CONVERTER MDP TO DVI M/F 6IN ING!!!,8,MINI DISPLAYPORT DVI ADAPTER CONVERTER MDP TO DVI M/F 6IN ING!!!,,,,,,,,,,,,,,,
9V7783,10FT HDMI TO VGA M/M ADAPTER CABLE AC,7010,24.81,EA,0,9V7783,,TRIPP LITE,10FT HDMI TO VGA M/M ADAPTER CABLE ACTIVE LOW PROFILE HD15 1080P ING!!!,8,10FT HDMI TO VGA M/M ADAPTER CABLE ACTIVE LOW PROFILE HD15 1080P ING!!!,,,,,,,,,,,,,,,
YN2582,6FT DISPLAYPORT TO HD ADAPTER CABLE DP,7010,14.56,EA,0,YN2582,,TRIPP LITE,6FT DISPLAYPORT TO HD ADAPTER CABLE DP TO HD 1920X1080 M/M ING!!!,8,6FT DISPLAYPORT TO HD ADAPTER CABLE DP TO HD 1920X1080 M/M ING!!!,,,,,,,,,,,,,,,
9K6470,DISPLAYPORT TO HDMI ADAPTER 6FTCABLE AC,7010,35.6,EA,0,9K6470,,TRIPP LITE,DISPLAYPORT TO HDMI ADAPTER 6FTCABLE ACTIVE DP 1.2A TO HDMI 4K 3FT ING!!!,8,DISPLAYPORT TO HDMI ADAPTER 6FTCABLE ACTIVE DP 1.2A TO HDMI 4K 3FT ING!!!,,,,,,,,,,,,,,,
XT0139,10FT DISPLAYPORT TO HD ADAPTER CABLE DP,7010,22.11,EA,0,XT0139,,TRIPP LITE,10FT DISPLAYPORT TO HD ADAPTER CABLE DP TO HD 1920X1080 M/M ING!!!,8,10FT DISPLAYPORT TO HD ADAPTER CABLE DP TO HD 1920X1080 M/M ING!!!,,,,,,,,,,,,,,,
9K6473,DISPLAYPORT HDMI ADAPTER 15FT CABLE AC,7010,47.46,EA,0,9K6473,,TRIPP LITE,DISPLAYPORT HDMI ADAPTER 15FT CABLE ACTIVE DP 1.2A TO HDMI 4K 3FT ING!!!,8,DISPLAYPORT HDMI ADAPTER 15FT CABLE ACTIVE DP 1.2A TO HDMI 4K 3FT ING!!!,,,,,,,,,,,,,,,
