Item Master Primary Spec/Item Status Information/Archive,Item Master Primary Spec/Common Information/Commercial and Government Entity Code,Item Master Primary Spec/Common Information/Contract Number,Item Master Primary Spec/Common Information/Part Number,Item Master Primary Spec/Common Information/Part Name,Item Master Primary Spec/Common Information/Federal Supply Class,Item Master Primary Spec/Pricing/Original Unit Price,Item Master Primary Spec/Pricing/Original Unit of Issue,Item Master Primary Spec/Pricing/Quantity Per Unit Pack,Item Master Primary Spec/Common Information/Original Equipment Manufacturer Part Number,Item Master Primary Spec/Common Information/Original Equipment Manufacturer CAGE Code,Item Master Primary Spec/Common Information/Original Equipment Manufacturer Name,Item Master Primary Spec/Short Description,Item Master Primary Spec/Common Information/Days After Receipt of Order,Item Master Primary Spec/Long Description,Item Master Primary Spec/Common Information/Universal Product Code,Item Master Primary Spec/Commercial Information/Environmental Information/Hazardous Material Flag,Item Master Primary Spec/Sale Pricing/Sale Start Date,Item Master Primary Spec/Sale Pricing/Sale End Date,Item Master Primary Spec/Sale Pricing/Sale Price,Item Master Primary Spec/Commercial Information/Shipping Information/Shipment Level of Service/Standard Shipment Price,Item Master Primary Spec/Commercial Information/Shipping Information/Shipment Level of Service/Expedited Shipment Price,Item Master Primary Spec/Commercial Information/Shipping Information/Shipment Level of Service/Next Day Shipment Price,Item Master Primary Spec/Special Properties/Environmentally Preferred/Environmentally Preferred Indicator,Item Master Primary Spec/Special Properties/Environmentally Preferred/Justifying Comment,Item Master Primary Spec/Special Properties/Energy Star/Energy Star Indicator,Item Master Primary Spec/Special Properties/Energy Star/Justifying Comment
7CN616,1X2 MINI DP 1.2- HDMI MULTI MONITOR,7010,66.81,EA,0,7CN616,,SIIG INC,1X2 MINI DP 1.2- HDMI MULTI MONITOR SPLITTER 2PORT MST HUB ING!!!,8,1X2 MINI DP 1.2- HDMI MULTI MONITOR SPLITTER 2PORT MST HUB ING!!!,,,,,,,,,,,,,,,
6QG799,2PORT DVI DUAL-LINK SMART CONSOLE,7010,296.99,EA,0,6QG799,,SIIG INC,2PORT DVI DUAL-LINK SMART CONSOLE SWITCH WITH USB 3 ING!!!,8,2PORT DVI DUAL-LINK SMART CONSOLE SWITCH WITH USB 3 ING!!!,,,,,,,,,,,,,,,
6QG800,4PORT DVI DUAL-LINK SMART CONSOLE,7010,433.12,EA,0,6QG800,,SIIG INC,4PORT DVI DUAL-LINK SMART CONSOLE SWITCH WITH USB 3 ING!!!,8,4PORT DVI DUAL-LINK SMART CONSOLE SWITCH WITH USB 3 ING!!!,,,,,,,,,,,,,,,
6DN533,HDMI 2.0 4K HDR REPEATER 20M,7010,37.11,EA,0,6DN533,,SIIG INC,HDMI 2.0 4K HDR REPEATER 20M ING!!!,8,HDMI 2.0 4K HDR REPEATER 20M ING!!!,,,,,,,,,,,,,,,
6DN534,HDCP CONVERTER HDCP 2.2 SIGNAL TO HDCP,7010,53.2,EA,0,6DN534,,SIIG INC,HDCP CONVERTER HDCP 2.2 SIGNAL TO HDCP 1.4 SIGNAL ING!!!,8,HDCP CONVERTER HDCP 2.2 SIGNAL TO HDCP 1.4 SIGNAL ING!!!,,,,,,,,,,,,,,,
6PY346,HDMI 2.0 4K HDR 1X2 SPLITTER HDBASET,7010,617.52,EA,0,6PY346,,SIIG INC,HDMI 2.0 4K HDR 1X2 SPLITTER HDBASET EXTENDER WITH AUTO-SCALING ING!!!,8,HDMI 2.0 4K HDR 1X2 SPLITTER HDBASET EXTENDER WITH AUTO-SCALING ING!!!,,,,,,,,,,,,,,,
6PY345,HDMI 2.0 4K HDR 1X4 SPLITTER HDBASET,7010,1236.27,EA,0,6PY345,,SIIG INC,HDMI 2.0 4K HDR 1X4 SPLITTER HDBASET EXTENDER WITH AUTO-SCALING ING!!!,8,HDMI 2.0 4K HDR 1X4 SPLITTER HDBASET EXTENDER WITH AUTO-SCALING ING!!!,,,,,,,,,,,,,,,
6PY344,HDMI 2.0 4K HDR OVER HDBASET RECEIVER,7010,221.51,EA,0,6PY344,,SIIG INC,HDMI 2.0 4K HDR OVER HDBASET RECEIVER ING!!!,8,HDMI 2.0 4K HDR OVER HDBASET RECEIVER ING!!!,,,,,,,,,,,,,,,
6DQ346,4X4 HDMI 2.0 4K HDR MATRIX SWITCH C,7010,494.99,EA,0,6DQ346,,SIIG INC,4X4 HDMI 2.0 4K HDR MATRIX SWITCH CLOUD CONTROL FOUR 4K HDMI ING!!!,8,4X4 HDMI 2.0 4K HDR MATRIX SWITCH CLOUD CONTROL FOUR 4K HDMI ING!!!,,,,,,,,,,,,,,,
6QA098,1X2 HDMI 2.0 SPLITTER W/ AUDIO EXTRACTO,7010,92.8,EA,0,6QA098,,SIIG INC,1X2 HDMI 2.0 SPLITTER W/ AUDIO EXTRACTOR / AUTO SCALING & EDID ING!!!,8,1X2 HDMI 2.0 SPLITTER W/ AUDIO EXTRACTOR / AUTO SCALING & EDID ING!!!,,,,,,,,,,,,,,,
