CONTNUM|MFGPART|MFGNAME|PRODNAME|VENDPART|PRODDESC|PRODDESC2|PRODDESC3|PRODDESC4|NSN|VALUE1|VALUE2|VALUE3|DVOLUME|D_VUNIT|ISSCODE|QTY_UNIT|QP_UNIT|STDPACK|WEIGHT|SIN|PPOINT|INCR_OF|P_WWW|WARNUMBER|WARPERIOD|P_DELIV|LEADTIME|UNIT1|UNIT2|UNIT3|TYPE1|TYPE2|TYPE3|ITEMTYPE|UPC|UNSPSC|FOB_AK|FOB_HI|FOB_PR|FOB_US|PSC_CODE|GSAPRICE|TEMPRICE|TPRSTART|TPRSTOP|MLP|ZONE_NUM
47QSHA19D003A|27007-AECN|CASTROL|BRAYCO MICRONIC 756 6 - 1 GL CN|27007-AECN|BRAYCO MICRONIC 756 6 - 1 GL CN - Case|||||14|14|10|1.13|CF|CA|6|CN||50|834 900|US||http://https://www.acilube.com/brayco-756-gl-mil-prf-5606-hydraulic-fluid.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|186.84|0|||191.17|00
47QSHA19D003A|27007-AEDR|CASTROL|BRAYCO MICRONIC 756 -55 GAL|27007-AEDR|BRAYCO MICRONIC 756 - 1 Drum - 55 Gallons|||||23|23|23|11.02|CF|DR|55|GA||500|834 900|US||http://https://www.acilube.com/brayco-756-55gl-mil-prf-5606-hydraulic-fluid.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|1135.98|0|||1162.33|00
47QSHA19D003A|27007-AEPL|CASTROL|BRAYCO MICRONIC 756 - 5 GALLON PAIL|27007-AEPL|BRAYCO MICRONIC 756 - 5 Gallon Pail|||||12|12|16|1.33|CF|PA|5|GA||45|834 900|US||http://https://www.acilube.com/brayco-756-5gl-mil-prf-5606-hydraulic-fluid.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|121.9|0|||124.73|00
47QSHA19D003A|27009-AECD|CASTROL|BRAYCO MICRONIC 882  12 - 1QT CASE|27009-AECD|BRAYCO MICRONIC 882  12 - 1QT CASE|||||21|17|7|1.45|CF|CA|12|QT||24|834 900|US||http://https://www.acilube.com/brayco-882-qt-mil-prf-83282-hydraulic-fluid.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|104.86|0|||107.29|00
47QSHA19D003A|27009-AECN|CASTROL|BRAYCO MICRONIC 882 6/1 GL CN|27009-AECN|BRAYCO MICRONIC 882 6/1 GL CN - 1 Case|||||14|14|10|1.13|CF|CA|6|GA||50|834 900|US||http://https://www.acilube.com/brayco-882-gl-mil-prf-83282-hydraulic-fluid.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|191.61|0|||196.05|00
47QSHA19D003A|27009-AEDR|CASTROL|BRAYCO MICRONIC 882 - 1 DRUM - 55 GALLON|27009-AEDR|BRAYCO MICRONIC 882 - 1 Drum - 55 Gallons|||||23|23|36|11.02|CF|DR|55|GA||500|834 900|US||http://https://www.acilube.com/brayco-882-55gl-mil-prf-83282-hydraulic-fluid.htm|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|1267.14|0|||1296.53|00
47QSHA19D003A|27009-AEPL|CASTROL|BRAYCO MICRONIC 882 - 1 PAIL - 5 GL|27009-AEPL|BRAYCO MICRONIC 882 - 1 Pail - 5 Gallons|||||12|12|12|1.33|CF|PA|5|GA||45|834 900|US||http://https://www.acilube.com/brayco-882-5gl-mil-prf-83282-hydraulic-fluid.html|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|136.45|0|||140.67|00
47QSHA19D003A|27010-AEDR|CASTROL|BRAYCO MICRONIC 883 - 1 DRUM - 55 GL|27010-AEDR|BRAYCO MICRONIC 883 - 1 Drum - 55 Gallons|||||23|23|36|11.02|CF|DR|55|GA||500|834 900|US||http://https://www.acilube.com/bracyo-883-55gl-mil-prf-46170-hydraulic-fluid.htm|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|1375.37|0|||1407.27|00
47QSHA19D003A|27012-AEDR|CASTROL|BRAYCO 717 - 1 DRUM - 55 GALLONS|27012-AEDR|BRAYCO 717 - 1 Drum - 55 Gallons|||||23|23|36|11.02|CF|DR|55|GA||500|834 900|US||http://https://www.acilube.com/brayco-717-55gl-mil-dtl-17111-hydraulic-fluid.htm|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|1495.77|0|||1530.47|00
47QSHA19D003A|27012-AEPL|CASTROL|BRAYCO 717 - 1 PAIL - 5 GALLONS|27012-AEPL|BRAYCO 717 - 1 Pail - 5 Gallons|||||12|12|16|1.33|CF|PA|5|GA||45|834 900|US||http://https://www.acilube.com/brayco-717-5gl-mil-dtl-17111e-hydraulic-fluid.htm|0|STND|21|AF|IN|IN|IN|LN|WD|HT|P|99999999999999||O|O|O|O|8020|241.14|0|||246.73|00
